City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
Albuquerque,New Mexico,2 vehicles available,86861,4427,38.9,1.9
Anaheim,California,2 vehicles available,39090,2805,38.9,2.6
Anchorage,Alaska,2 vehicles available,40442,2786,38.5,2.6
Arlington,Texas,2 vehicles available,53234,2672,39.9,1.9
Atlanta,Georgia,2 vehicles available,49326,3240,28.7,1.7
Aurora,Colorado,2 vehicles available,44258,2944,37,2.3
Austin,Texas,2 vehicles available,122485,5081,37.9,1.4
Bakersfield,California,2 vehicles available,43686,2730,39.9,2.2
Baltimore,Maryland,2 vehicles available,50976,3441,21.4,1.3
Boston,Massachusetts,2 vehicles available,41024,2983,16.3,1.1
Chicago,Illinois,2 vehicles available,223331,6647,22,0.6
Cincinnati,Ohio,2 vehicles available,33650,2901,26.7,2
Cleveland,Ohio,2 vehicles available,39595,2877,24,1.6
Colorado Springs,Colorado,2 vehicles available,66844,3032,39.9,1.9
Columbus,Ohio,2 vehicles available,117589,4400,36.8,1.2
Corpus Christi,Texas,2 vehicles available,41121,3004,37.1,2.6
Dallas,Texas,2 vehicles available,151096,4966,33.8,1
Denver,Colorado,2 vehicles available,87881,3834,33.5,1.4
Detroit,Michigan,2 vehicles available,53496,3178,21,1.3
El Paso,Texas,2 vehicles available,75887,3624,36,1.6
Fresno,California,2 vehicles available,54996,3199,36,2
Greensboro,North Carolina,2 vehicles available,36910,2572,33.8,2.4
Henderson,Nevada,2 vehicles available,41781,2701,42.2,2.7
Houston,Texas,2 vehicles available,257092,6980,33.7,0.9
Indianapolis,Indiana,2 vehicles available,117203,4731,36.3,1.3
Irvine,California,2 vehicles available,34322,2207,45.1,2.7
Jacksonville,Florida,2 vehicles available,118320,5073,38.4,1.4
Jersey City,New Jersey,2 vehicles available,15147,1543,16.3,1.7
Las Vegas,Nevada,2 vehicles available,78994,4147,37.4,2
Lincoln,Nebraska,2 vehicles available,42814,2705,41.1,2.4
Long Beach,California,2 vehicles available,52207,3685,33,2.1
Los Angeles,California,2 vehicles available,425527,7027,32.5,0.6
Memphis,Tennessee,2 vehicles available,77438,3703,32.1,1.3
Mesa,Arizona,2 vehicles available,58690,3518,36.1,2
Miami,Florida,2 vehicles available,38454,3111,26.4,2.2
Milwaukee,Wisconsin,2 vehicles available,65395,3184,28.6,1.3
Minneapolis,Minnesota,2 vehicles available,49446,2763,29.8,1.7
New Orleans,Louisiana,2 vehicles available,39526,2715,27.8,1.8
New York,New York,2 vehicles available,324312,9736,10.7,0.3
Newark,New Jersey,2 vehicles available,14918,1811,16.3,2
Oakland,California,2 vehicles available,44135,2919,29.1,1.9
Omaha,Nebraska,2 vehicles available,59417,2653,36.4,1.6
Orlando,Florida,2 vehicles available,33536,2665,34.7,2.8
Philadelphia,Pennsylvania,2 vehicles available,106164,4819,18.5,0.8
Phoenix,Arizona,2 vehicles available,185891,5443,36.3,0.9
Pittsburgh,Pennsylvania,2 vehicles available,33581,1822,25.9,1.3
Plano,Texas,2 vehicles available,43972,2691,45.1,2.6
Portland,Oregon,2 vehicles available,81271,3853,33.3,1.5
Riverside,California,2 vehicles available,32830,2675,37.4,2.5
Sacramento,California,2 vehicles available,57320,3216,32.5,1.7
San Antonio,Texas,2 vehicles available,168041,5418,35.7,1.1
San Diego,California,2 vehicles available,179910,6176,38.3,1.1
San Francisco,California,2 vehicles available,71155,4042,21.2,1.1
San Jose,California,2 vehicles available,121960,4698,41,1.6
Santa Ana,California,2 vehicles available,25445,2048,35.7,2.6
Seattle,Washington,2 vehicles available,82588,4144,29.8,1.5
St. Paul,Minnesota,2 vehicles available,35255,2221,32,1.9
Stockton,California,2 vehicles available,34161,2549,37.5,2.5
Tampa,Florida,2 vehicles available,46502,2901,34.9,2
Tucson,Arizona,2 vehicles available,64251,4150,31.8,1.9
Tulsa,Oklahoma,2 vehicles available,58661,3062,36,1.8
Virginia Beach,Virginia,2 vehicles available,70255,3310,42.8,1.9
Washington,District of Columbia,2 vehicles available,39683,2815,15.7,1.1
Wichita,Kansas,2 vehicles available,56803,2886,38,1.9
Albuquerque,New Mexico,3 or more vehicles available,35584,3163,15.9,1.4
Anaheim,California,3 or more vehicles available,24393,2157,24.3,2.3
Anchorage,Alaska,3 or more vehicles available,21852,2221,20.8,2.1
Arlington,Texas,3 or more vehicles available,25288,2241,18.9,1.8
Atlanta,Georgia,3 or more vehicles available,15198,1857,8.8,1.1
Aurora,Colorado,3 or more vehicles available,22756,2074,19,1.8
Austin,Texas,3 or more vehicles available,37878,3182,11.7,1
Bakersfield,California,3 or more vehicles available,22782,2184,20.8,2.1
Baltimore,Maryland,3 or more vehicles available,16258,1957,6.8,0.8
Boston,Massachusetts,3 or more vehicles available,10806,1861,4.3,0.7
Chicago,Illinois,3 or more vehicles available,70061,3550,6.9,0.3
Cincinnati,Ohio,3 or more vehicles available,12366,1737,9.8,1.4
Cleveland,Ohio,3 or more vehicles available,12901,1458,7.8,0.9
Colorado Springs,Colorado,3 or more vehicles available,30454,2724,18.2,1.6
Columbus,Ohio,3 or more vehicles available,34593,2535,10.8,0.8
Corpus Christi,Texas,3 or more vehicles available,17564,2149,15.8,1.9
Dallas,Texas,3 or more vehicles available,52652,3315,11.8,0.8
Denver,Colorado,3 or more vehicles available,30756,2635,11.7,1
Detroit,Michigan,3 or more vehicles available,19083,2031,7.5,0.8
El Paso,Texas,3 or more vehicles available,41548,2944,19.7,1.4
Fresno,California,3 or more vehicles available,22517,1841,14.7,1.3
Greensboro,North Carolina,3 or more vehicles available,15771,1893,14.4,1.7
Henderson,Nevada,3 or more vehicles available,16604,1856,16.8,1.9
Houston,Texas,3 or more vehicles available,95654,4064,12.5,0.5
Indianapolis,Indiana,3 or more vehicles available,44067,2461,13.7,0.8
Irvine,California,3 or more vehicles available,15204,1561,20,2.1
Jacksonville,Florida,3 or more vehicles available,42573,3187,13.8,1
Jersey City,New Jersey,3 or more vehicles available,3005,724,3.2,0.8
Las Vegas,Nevada,3 or more vehicles available,30015,2757,14.2,1.3
Lincoln,Nebraska,3 or more vehicles available,20288,2402,19.5,2.3
Long Beach,California,3 or more vehicles available,29168,2377,18.4,1.7
Los Angeles,California,3 or more vehicles available,197902,6589,15.1,0.5
Memphis,Tennessee,3 or more vehicles available,29777,2501,12.3,1
Mesa,Arizona,3 or more vehicles available,22791,2256,14,1.5
Miami,Florida,3 or more vehicles available,9507,1426,6.5,1
Milwaukee,Wisconsin,3 or more vehicles available,17593,1764,7.7,0.7
Minneapolis,Minnesota,3 or more vehicles available,15094,1976,9.1,1.2
New Orleans,Louisiana,3 or more vehicles available,13728,1601,9.7,1.1
New York,New York,3 or more vehicles available,86464,4185,2.8,0.1
Newark,New Jersey,3 or more vehicles available,3662,1025,4,1.1
Oakland,California,3 or more vehicles available,17240,2198,11.4,1.5
Omaha,Nebraska,3 or more vehicles available,27389,2351,16.8,1.3
Orlando,Florida,3 or more vehicles available,8929,1308,9.2,1.4
Philadelphia,Pennsylvania,3 or more vehicles available,24151,2434,4.2,0.4
Phoenix,Arizona,3 or more vehicles available,72140,3773,14.1,0.7
Pittsburgh,Pennsylvania,3 or more vehicles available,8306,1454,6.4,1.1
Plano,Texas,3 or more vehicles available,17551,1890,18,2.1
Portland,Oregon,3 or more vehicles available,30573,2552,12.5,1
Riverside,California,3 or more vehicles available,23233,1962,26.5,2.5
Sacramento,California,3 or more vehicles available,29297,2421,16.6,1.4
San Antonio,Texas,3 or more vehicles available,73240,3812,15.6,0.8
San Diego,California,3 or more vehicles available,84496,3983,18,0.9
San Francisco,California,3 or more vehicles available,23996,2372,7.1,0.7
San Jose,California,3 or more vehicles available,80187,4436,26.9,1.4
Santa Ana,California,3 or more vehicles available,20396,1911,28.6,2.7
Seattle,Washington,3 or more vehicles available,30524,2657,11,1
St. Paul,Minnesota,3 or more vehicles available,13614,1607,12.4,1.5
Stockton,California,3 or more vehicles available,20530,1932,22.5,2.2
Tampa,Florida,3 or more vehicles available,11822,1666,8.9,1.3
Tucson,Arizona,3 or more vehicles available,29787,2368,14.8,1.1
Tulsa,Oklahoma,3 or more vehicles available,23658,1972,14.5,1.2
Virginia Beach,Virginia,3 or more vehicles available,38317,2397,23.3,1.4
Washington,District of Columbia,3 or more vehicles available,10048,1389,4,0.6
Wichita,Kansas,3 or more vehicles available,28177,2294,18.8,1.5
Albuquerque,New Mexico,Occupied housing units,223505,2539,223505,
Anaheim,California,Occupied housing units,,,,
Anchorage,Alaska,Occupied housing units,104993,2002,104993,
Arlington,Texas,Occupied housing units,,,,
Atlanta,Georgia,Occupied housing units,172159,5268,172159,
Aurora,Colorado,Occupied housing units,119559,3177,119559,
Austin,Texas,Occupied housing units,,,,
Bakersfield,California,Occupied housing units,109420,3039,109420,
Baltimore,Maryland,Occupied housing units,237945,4515,237945,
Boston,Massachusetts,Occupied housing units,251721,4587,251721,
Chicago,Illinois,Occupied housing units,1014576,8579,1014576,
Cincinnati,Ohio,Occupied housing units,126145,4336,126145,
Cleveland,Ohio,Occupied housing units,164990,4095,164990,
Colorado Springs,Colorado,Occupied housing units,167361,3084,167361,
Columbus,Ohio,Occupied housing units,319428,4797,319428,
Corpus Christi,Texas,Occupied housing units,,,,
Dallas,Texas,Occupied housing units,447680,6310,447680,
Denver,Colorado,Occupied housing units,262093,3662,262093,
Detroit,Michigan,Occupied housing units,255201,5059,255201,
El Paso,Texas,Occupied housing units,,,,
Fresno,California,Occupied housing units,152890,3242,152890,
Greensboro,North Carolina,Occupied housing units,109255,3387,109255,
Henderson,Nevada,Occupied housing units,,,,
Houston,Texas,Occupied housing units,762309,6535,762309,
Indianapolis,Indiana,Occupied housing units,322700,5582,322700,
Irvine,California,Occupied housing units,,,,
Jacksonville,Florida,Occupied housing units,308173,6302,308173,
Jersey City,New Jersey,Occupied housing units,92649,2709,92649,
Las Vegas,Nevada,Occupied housing units,,,,
Lincoln,Nebraska,Occupied housing units,104286,1919,104286,
Long Beach,California,Occupied housing units,158386,4102,158386,
Los Angeles,California,Occupied housing units,1310259,9520,1310259,
Memphis,Tennessee,Occupied housing units,,,,
Mesa,Arizona,Occupied housing units,162691,4466,162691,
Miami,Florida,Occupied housing units,,,,
Milwaukee,Wisconsin,Occupied housing units,228945,3762,228945,
Minneapolis,Minnesota,Occupied housing units,165798,3861,165798,
New Orleans,Louisiana,Occupied housing units,,,,
New York,New York,Occupied housing units,3039467,11288,3039467,
Newark,New Jersey,Occupied housing units,,,,
Oakland,California,Occupied housing units,151808,3746,151808,
Omaha,Nebraska,Occupied housing units,163411,2894,163411,
Orlando,Florida,Occupied housing units,96753,3793,96753,
Philadelphia,Pennsylvania,Occupied housing units,575413,6623,575413,
Phoenix,Arizona,Occupied housing units,511432,7172,511432,
Pittsburgh,Pennsylvania,Occupied housing units,129828,3843,129828,
Plano,Texas,Occupied housing units,,,,
Portland,Oregon,Occupied housing units,244192,3559,244192,
Riverside,California,Occupied housing units,,,,
Sacramento,California,Occupied housing units,176168,5046,176168,
San Antonio,Texas,Occupied housing units,470223,4982,470223,
San Diego,California,Occupied housing units,469635,6664,469635,
San Francisco,California,Occupied housing units,336012,4358,336012,
San Jose,California,Occupied housing units,297637,4429,297637,
Santa Ana,California,Occupied housing units,71288,2600,71288,
Seattle,Washington,Occupied housing units,277520,5743,277520,
St. Paul,Minnesota,Occupied housing units,110088,2941,110088,
Stockton,California,Occupied housing units,91200,2669,91200,
Tampa,Florida,Occupied housing units,133070,3857,133070,
Tucson,Arizona,Occupied housing units,,,,
Tulsa,Oklahoma,Occupied housing units,163173,2981,163173,
Virginia Beach,Virginia,Occupied housing units,164300,2574,164300,
Washington,District of Columbia,Occupied housing units,252388,3730,252388,
Wichita,Kansas,Occupied housing units,149648,2521,149648,
Albuquerque,New Mexico,Utility gas,191072,3351,85.5,1.1
Anaheim,California,Utility gas,,,,
Anchorage,Alaska,Utility gas,85890,2417,81.8,1.8
Arlington,Texas,Utility gas,,,,
Atlanta,Georgia,Utility gas,89437,3458,52,1.7
Aurora,Colorado,Utility gas,93592,3515,78.3,1.9
Austin,Texas,Utility gas,,,,
Bakersfield,California,Utility gas,83335,3241,76.2,1.9
Baltimore,Maryland,Utility gas,152987,5110,64.3,1.7
Boston,Massachusetts,Utility gas,139719,4449,55.5,1.6
Chicago,Illinois,Utility gas,867409,9393,85.5,0.5
Cincinnati,Ohio,Utility gas,89043,3861,70.6,2.2
Cleveland,Ohio,Utility gas,140011,3842,84.9,1.3
Colorado Springs,Colorado,Utility gas,131288,3131,78.4,1.4
Columbus,Ohio,Utility gas,237119,4524,74.2,1.4
Corpus Christi,Texas,Utility gas,,,,
Dallas,Texas,Utility gas,154005,5370,34.4,1.1
Denver,Colorado,Utility gas,187291,4519,71.5,1.3
Detroit,Michigan,Utility gas,226202,5140,88.6,1
El Paso,Texas,Utility gas,,,,
Fresno,California,Utility gas,92649,3654,60.6,2
Greensboro,North Carolina,Utility gas,51231,2853,46.9,2.4
Henderson,Nevada,Utility gas,,,,
Houston,Texas,Utility gas,294865,6512,38.7,0.8
Indianapolis,Indiana,Utility gas,204731,5182,63.4,1.4
Irvine,California,Utility gas,,,,
Jacksonville,Florida,Utility gas,8842,1477,2.9,0.5
Jersey City,New Jersey,Utility gas,63602,2847,68.6,2.5
Las Vegas,Nevada,Utility gas,,,,
Lincoln,Nebraska,Utility gas,72080,2460,69.1,1.9
Long Beach,California,Utility gas,103815,4186,65.5,2
Los Angeles,California,Utility gas,886174,9677,67.6,0.6
Memphis,Tennessee,Utility gas,,,,
Mesa,Arizona,Utility gas,31883,2603,19.6,1.4
Miami,Florida,Utility gas,,,,
Milwaukee,Wisconsin,Utility gas,190488,4036,83.2,1
Minneapolis,Minnesota,Utility gas,134701,3496,81.2,1.4
New Orleans,Louisiana,Utility gas,,,,
New York,New York,Utility gas,1748621,14786,57.5,0.4
Newark,New Jersey,Utility gas,,,,
Oakland,California,Utility gas,90855,3215,59.8,1.8
Omaha,Nebraska,Utility gas,133536,3340,81.7,1.4
Orlando,Florida,Utility gas,3144,902,3.2,0.9
Philadelphia,Pennsylvania,Utility gas,454812,6634,79,0.8
Phoenix,Arizona,Utility gas,132379,4818,25.9,0.9
Pittsburgh,Pennsylvania,Utility gas,106623,3705,82.1,1.6
Plano,Texas,Utility gas,,,,
Portland,Oregon,Utility gas,121985,3340,50,1.4
Riverside,California,Utility gas,,,,
Sacramento,California,Utility gas,108298,4205,61.5,2.1
San Antonio,Texas,Utility gas,177776,5349,37.8,1.1
San Diego,California,Utility gas,292637,6458,62.3,1
San Francisco,California,Utility gas,206413,5967,61.4,1.6
San Jose,California,Utility gas,196103,5265,65.9,1.4
Santa Ana,California,Utility gas,36750,2807,51.6,3.1
Seattle,Washington,Utility gas,105764,3339,38.1,1
St. Paul,Minnesota,Utility gas,83635,3073,76,1.7
Stockton,California,Utility gas,55254,2632,60.6,2.3
Tampa,Florida,Utility gas,7203,1126,5.4,0.8
Tucson,Arizona,Utility gas,,,,
Tulsa,Oklahoma,Utility gas,109400,3614,67,1.8
Virginia Beach,Virginia,Utility gas,59651,2610,36.3,1.6
Washington,District of Columbia,Utility gas,162481,4411,64.4,1.4
Wichita,Kansas,Utility gas,113992,3075,76.2,1.7
Albuquerque,New Mexico,Bottled tank or LP gas,2030,683,0.9,0.3
Anaheim,California,Bottled tank or LP gas,,,,
Anchorage,Alaska,Bottled tank or LP gas,1159,485,1.1,0.5
Arlington,Texas,Bottled tank or LP gas,,,,
Atlanta,Georgia,Bottled tank or LP gas,1130,479,0.7,0.3
Aurora,Colorado,Bottled tank or LP gas,865,383,0.7,0.3
Austin,Texas,Bottled tank or LP gas,,,,
Bakersfield,California,Bottled tank or LP gas,505,292,0.5,0.3
Baltimore,Maryland,Bottled tank or LP gas,1788,569,0.8,0.2
Boston,Massachusetts,Bottled tank or LP gas,5106,969,2,0.4
Chicago,Illinois,Bottled tank or LP gas,8549,1016,0.8,0.1
Cincinnati,Ohio,Bottled tank or LP gas,1165,580,0.9,0.5
Cleveland,Ohio,Bottled tank or LP gas,1457,552,0.9,0.3
Colorado Springs,Colorado,Bottled tank or LP gas,1617,464,1,0.3
Columbus,Ohio,Bottled tank or LP gas,2768,588,0.9,0.2
Corpus Christi,Texas,Bottled tank or LP gas,,,,
Dallas,Texas,Bottled tank or LP gas,2341,695,0.5,0.2
Denver,Colorado,Bottled tank or LP gas,1882,551,0.7,0.2
Detroit,Michigan,Bottled tank or LP gas,1450,605,0.6,0.2
El Paso,Texas,Bottled tank or LP gas,,,,
Fresno,California,Bottled tank or LP gas,1670,583,1.1,0.4
Greensboro,North Carolina,Bottled tank or LP gas,1750,743,1.6,0.7
Henderson,Nevada,Bottled tank or LP gas,,,,
Houston,Texas,Bottled tank or LP gas,4283,880,0.6,0.1
Indianapolis,Indiana,Bottled tank or LP gas,1922,616,0.6,0.2
Irvine,California,Bottled tank or LP gas,,,,
Jacksonville,Florida,Bottled tank or LP gas,4222,895,1.4,0.3
Jersey City,New Jersey,Bottled tank or LP gas,746,318,0.8,0.3
Las Vegas,Nevada,Bottled tank or LP gas,,,,
Lincoln,Nebraska,Bottled tank or LP gas,1261,581,1.2,0.6
Long Beach,California,Bottled tank or LP gas,1043,409,0.7,0.3
Los Angeles,California,Bottled tank or LP gas,10562,1244,0.8,0.1
Memphis,Tennessee,Bottled tank or LP gas,,,,
Mesa,Arizona,Bottled tank or LP gas,1245,588,0.8,0.4
Miami,Florida,Bottled tank or LP gas,,,,
Milwaukee,Wisconsin,Bottled tank or LP gas,2519,574,1.1,0.3
Minneapolis,Minnesota,Bottled tank or LP gas,1365,548,0.8,0.3
New Orleans,Louisiana,Bottled tank or LP gas,,,,
New York,New York,Bottled tank or LP gas,44630,3011,1.5,0.1
Newark,New Jersey,Bottled tank or LP gas,,,,
Oakland,California,Bottled tank or LP gas,1089,406,0.7,0.3
Omaha,Nebraska,Bottled tank or LP gas,894,367,0.5,0.2
Orlando,Florida,Bottled tank or LP gas,323,227,0.3,0.2
Philadelphia,Pennsylvania,Bottled tank or LP gas,5143,1102,0.9,0.2
Phoenix,Arizona,Bottled tank or LP gas,2538,863,0.5,0.2
Pittsburgh,Pennsylvania,Bottled tank or LP gas,1356,506,1,0.4
Plano,Texas,Bottled tank or LP gas,,,,
Portland,Oregon,Bottled tank or LP gas,1774,625,0.7,0.3
Riverside,California,Bottled tank or LP gas,,,,
Sacramento,California,Bottled tank or LP gas,1755,578,1,0.3
San Antonio,Texas,Bottled tank or LP gas,2649,754,0.6,0.2
San Diego,California,Bottled tank or LP gas,3879,815,0.8,0.2
San Francisco,California,Bottled tank or LP gas,4501,993,1.3,0.3
San Jose,California,Bottled tank or LP gas,2858,733,1,0.2
Santa Ana,California,Bottled tank or LP gas,1114,411,1.6,0.6
Seattle,Washington,Bottled tank or LP gas,2919,845,1.1,0.3
St. Paul,Minnesota,Bottled tank or LP gas,1886,549,1.7,0.5
Stockton,California,Bottled tank or LP gas,1099,413,1.2,0.5
Tampa,Florida,Bottled tank or LP gas,253,171,0.2,0.1
Tucson,Arizona,Bottled tank or LP gas,,,,
Tulsa,Oklahoma,Bottled tank or LP gas,715,314,0.4,0.2
Virginia Beach,Virginia,Bottled tank or LP gas,1365,526,0.8,0.3
Washington,District of Columbia,Bottled tank or LP gas,2490,600,1,0.2
Wichita,Kansas,Bottled tank or LP gas,1823,647,1.2,0.4
Albuquerque,New Mexico,Electricity,28667,2234,12.8,1
Anaheim,California,Electricity,,,,
Anchorage,Alaska,Electricity,14403,1835,13.7,1.7
Arlington,Texas,Electricity,,,,
Atlanta,Georgia,Electricity,80626,4214,46.8,1.7
Aurora,Colorado,Electricity,23992,2347,20.1,2
Austin,Texas,Electricity,,,,
Bakersfield,California,Electricity,24293,2072,22.2,1.9
Baltimore,Maryland,Electricity,60944,3758,25.6,1.5
Boston,Massachusetts,Electricity,55403,3524,22,1.3
Chicago,Illinois,Electricity,122350,5244,12.1,0.5
Cincinnati,Ohio,Electricity,32851,3132,26,2.2
Cleveland,Ohio,Electricity,19922,2041,12.1,1.2
Colorado Springs,Colorado,Electricity,32345,2575,19.3,1.4
Columbus,Ohio,Electricity,77433,4897,24.2,1.4
Corpus Christi,Texas,Electricity,,,,
Dallas,Texas,Electricity,289648,7014,64.7,1.2
Denver,Colorado,Electricity,68183,3614,26,1.3
Detroit,Michigan,Electricity,21964,2152,8.6,0.8
El Paso,Texas,Electricity,,,,
Fresno,California,Electricity,57157,3254,37.4,2
Greensboro,North Carolina,Electricity,53363,3382,48.8,2.4
Henderson,Nevada,Electricity,,,,
Houston,Texas,Electricity,457360,7992,60,0.9
Indianapolis,Indiana,Electricity,113596,5096,35.2,1.4
Irvine,California,Electricity,,,,
Jacksonville,Florida,Electricity,288775,6130,93.7,0.6
Jersey City,New Jersey,Electricity,17966,1804,19.4,1.8
Las Vegas,Nevada,Electricity,,,,
Lincoln,Nebraska,Electricity,30036,2130,28.8,2
Long Beach,California,Electricity,40799,2965,25.8,1.7
Los Angeles,California,Electricity,331335,8609,25.3,0.6
Memphis,Tennessee,Electricity,,,,
Mesa,Arizona,Electricity,128407,4054,78.9,1.6
Miami,Florida,Electricity,,,,
Milwaukee,Wisconsin,Electricity,28102,2217,12.3,1
Minneapolis,Minnesota,Electricity,23925,2227,14.4,1.2
New Orleans,Louisiana,Electricity,,,,
New York,New York,Electricity,268904,7395,8.8,0.2
Newark,New Jersey,Electricity,,,,
Oakland,California,Electricity,55698,3370,36.7,1.9
Omaha,Nebraska,Electricity,27014,2310,16.5,1.4
Orlando,Florida,Electricity,92134,3792,95.2,1.1
Philadelphia,Pennsylvania,Electricity,77309,4092,13.4,0.7
Phoenix,Arizona,Electricity,371532,6687,72.6,0.9
Pittsburgh,Pennsylvania,Electricity,18744,1840,14.4,1.3
Plano,Texas,Electricity,,,,
Portland,Oregon,Electricity,97091,3629,39.8,1.3
Riverside,California,Electricity,,,,
Sacramento,California,Electricity,64164,4651,36.4,2.1
San Antonio,Texas,Electricity,287068,6230,61,1.1
San Diego,California,Electricity,147032,5516,31.3,1.1
San Francisco,California,Electricity,106148,5030,31.6,1.4
San Jose,California,Electricity,94029,4413,31.6,1.4
Santa Ana,California,Electricity,14231,1868,20,2.5
Seattle,Washington,Electricity,143802,4782,51.8,1.3
St. Paul,Minnesota,Electricity,20569,1854,18.7,1.6
Stockton,California,Electricity,33167,2413,36.4,2.4
Tampa,Florida,Electricity,124173,3817,93.3,1
Tucson,Arizona,Electricity,,,,
Tulsa,Oklahoma,Electricity,52175,2953,32,1.7
Virginia Beach,Virginia,Electricity,96827,3443,58.9,1.7
Washington,District of Columbia,Electricity,75313,3587,29.8,1.4
Wichita,Kansas,Electricity,33031,2497,22.1,1.6
Albuquerque,New Mexico,Fuel oil kerosene etc,0,285,0,0.1
Anaheim,California,Fuel oil kerosene etc,,,,
Anchorage,Alaska,Fuel oil kerosene etc,2166,764,2.1,0.7
Arlington,Texas,Fuel oil kerosene etc,,,,
Atlanta,Georgia,Fuel oil kerosene etc,151,120,0.1,0.1
Aurora,Colorado,Fuel oil kerosene etc,100,122,0.1,0.1
Austin,Texas,Fuel oil kerosene etc,,,,
Bakersfield,California,Fuel oil kerosene etc,0,294,0,0.2
Baltimore,Maryland,Fuel oil kerosene etc,19617,2093,8.2,0.9
Boston,Massachusetts,Fuel oil kerosene etc,47869,3343,19,1.3
Chicago,Illinois,Fuel oil kerosene etc,2753,724,0.3,0.1
Cincinnati,Ohio,Fuel oil kerosene etc,471,250,0.4,0.2
Cleveland,Ohio,Fuel oil kerosene etc,328,201,0.2,0.1
Colorado Springs,Colorado,Fuel oil kerosene etc,64,108,0,0.1
Columbus,Ohio,Fuel oil kerosene etc,332,225,0.1,0.1
Corpus Christi,Texas,Fuel oil kerosene etc,,,,
Dallas,Texas,Fuel oil kerosene etc,273,292,0.1,0.1
Denver,Colorado,Fuel oil kerosene etc,205,169,0.1,0.1
Detroit,Michigan,Fuel oil kerosene etc,1417,499,0.6,0.2
El Paso,Texas,Fuel oil kerosene etc,,,,
Fresno,California,Fuel oil kerosene etc,70,113,0,0.1
Greensboro,North Carolina,Fuel oil kerosene etc,2055,602,1.9,0.6
Henderson,Nevada,Fuel oil kerosene etc,,,,
Houston,Texas,Fuel oil kerosene etc,162,163,0,0.1
Indianapolis,Indiana,Fuel oil kerosene etc,681,383,0.2,0.1
Irvine,California,Fuel oil kerosene etc,,,,
Jacksonville,Florida,Fuel oil kerosene etc,3966,903,1.3,0.3
Jersey City,New Jersey,Fuel oil kerosene etc,9360,1548,10.1,1.6
Las Vegas,Nevada,Fuel oil kerosene etc,,,,
Lincoln,Nebraska,Fuel oil kerosene etc,147,172,0.1,0.2
Long Beach,California,Fuel oil kerosene etc,61,102,0,0.1
Los Angeles,California,Fuel oil kerosene etc,1515,629,0.1,0.1
Memphis,Tennessee,Fuel oil kerosene etc,,,,
Mesa,Arizona,Fuel oil kerosene etc,0,305,0,0.1
Miami,Florida,Fuel oil kerosene etc,,,,
Milwaukee,Wisconsin,Fuel oil kerosene etc,4832,1010,2.1,0.4
Minneapolis,Minnesota,Fuel oil kerosene etc,1267,589,0.8,0.4
New Orleans,Louisiana,Fuel oil kerosene etc,,,,
New York,New York,Fuel oil kerosene etc,908286,10876,29.9,0.4
Newark,New Jersey,Fuel oil kerosene etc,,,,
Oakland,California,Fuel oil kerosene etc,259,299,0.2,0.2
Omaha,Nebraska,Fuel oil kerosene etc,138,142,0.1,0.1
Orlando,Florida,Fuel oil kerosene etc,528,286,0.5,0.3
Philadelphia,Pennsylvania,Fuel oil kerosene etc,34565,2540,6,0.4
Phoenix,Arizona,Fuel oil kerosene etc,225,228,0,0.1
Pittsburgh,Pennsylvania,Fuel oil kerosene etc,1214,505,0.9,0.4
Plano,Texas,Fuel oil kerosene etc,,,,
Portland,Oregon,Fuel oil kerosene etc,18269,1712,7.5,0.7
Riverside,California,Fuel oil kerosene etc,,,,
Sacramento,California,Fuel oil kerosene etc,0,294,0,0.1
San Antonio,Texas,Fuel oil kerosene etc,359,225,0.1,0.1
San Diego,California,Fuel oil kerosene etc,965,520,0.2,0.1
San Francisco,California,Fuel oil kerosene etc,506,327,0.2,0.1
San Jose,California,Fuel oil kerosene etc,90,105,0,0.1
Santa Ana,California,Fuel oil kerosene etc,116,139,0.2,0.2
Seattle,Washington,Fuel oil kerosene etc,20133,2069,7.3,0.7
St. Paul,Minnesota,Fuel oil kerosene etc,980,461,0.9,0.4
Stockton,California,Fuel oil kerosene etc,0,294,0,0.2
Tampa,Florida,Fuel oil kerosene etc,195,171,0.1,0.1
Tucson,Arizona,Fuel oil kerosene etc,,,,
Tulsa,Oklahoma,Fuel oil kerosene etc,0,253,0,0.1
Virginia Beach,Virginia,Fuel oil kerosene etc,5446,929,3.3,0.6
Washington,District of Columbia,Fuel oil kerosene etc,8389,1243,3.3,0.5
Wichita,Kansas,Fuel oil kerosene etc,0,248,0,0.1
Albuquerque,New Mexico,Coal or coke,51,88,0,0.1
Anaheim,California,Coal or coke,,,,
Anchorage,Alaska,Coal or coke,0,246,0,0.1
Arlington,Texas,Coal or coke,,,,
Atlanta,Georgia,Coal or coke,0,300,0,0.1
Aurora,Colorado,Coal or coke,0,279,0,0.2
Austin,Texas,Coal or coke,,,,
Bakersfield,California,Coal or coke,0,294,0,0.2
Baltimore,Maryland,Coal or coke,120,143,0.1,0.1
Boston,Massachusetts,Coal or coke,0,285,0,0.1
Chicago,Illinois,Coal or coke,322,208,0,0.1
Cincinnati,Ohio,Coal or coke,0,269,0,0.1
Cleveland,Ohio,Coal or coke,0,269,0,0.1
Colorado Springs,Colorado,Coal or coke,261,274,0.2,0.2
Columbus,Ohio,Coal or coke,0,269,0,0.1
