,"Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Anaheim city, California","Anaheim city, California","Anaheim city, California","Anaheim city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Fresno city, California","Fresno city, California","Fresno city, California","Fresno city, California","Irvine city, California","Irvine city, California","Irvine city, California","Irvine city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Oakland city, California","Oakland city, California","Oakland city, California","Oakland city, California","Riverside city, California","Riverside city, California","Riverside city, California","Riverside city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Jose city, California","San Jose city, California","San Jose city, California","San Jose city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Stockton city, California","Stockton city, California","Stockton city, California","Stockton city, California","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","New York city, New York","New York city, New York","New York city, New York","New York city, New York","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin"
Occupied housing units,"104,993","±2,002","104,993",(X),"162,691","±4,466","162,691",(X),"511,432","±7,172","511,432",(X),"201,761","±4,584","201,761",(X),"100,404","±3,112","100,404",(X),"109,420","±3,039","109,420",(X),"152,890","±3,242","152,890",(X),"76,172","±2,460","76,172",(X),"158,386","±4,102","158,386",(X),"1,310,259","±9,520","1,310,259",(X),"151,808","±3,746","151,808",(X),"87,752","±3,694","87,752",(X),"176,168","±5,046","176,168",(X),"469,635","±6,664","469,635",(X),"336,012","±4,358","336,012",(X),"297,637","±4,429","297,637",(X),"71,288","±2,600","71,288",(X),"91,200","±2,669","91,200",(X),"119,559","±3,177","119,559",(X),"167,361","±3,084","167,361",(X),"262,093","±3,662","262,093",(X),"252,388","±3,730","252,388",(X),"308,173","±6,302","308,173",(X),"145,822","±4,810","145,822",(X),"96,753","±3,793","96,753",(X),"133,070","±3,857","133,070",(X),"172,159","±5,268","172,159",(X),"1,014,576","±8,579","1,014,576",(X),"322,700","±5,582","322,700",(X),"149,648","±2,521","149,648",(X),"142,093","±3,457","142,093",(X),"237,945","±4,515","237,945",(X),"251,721","±4,587","251,721",(X),"255,201","±5,059","255,201",(X),"165,798","±3,861","165,798",(X),"110,088","±2,941","110,088",(X),"104,286","±1,919","104,286",(X),"163,411","±2,894","163,411",(X),"99,095","±3,059","99,095",(X),"210,950","±4,737","210,950",(X),"92,649","±2,709","92,649",(X),"91,414","±3,236","91,414",(X),"223,505","±2,539","223,505",(X),"3,039,467","±11,288","3,039,467",(X),"109,255","±3,387","109,255",(X),"126,145","±4,336","126,145",(X),"164,990","±4,095","164,990",(X),"319,428","±4,797","319,428",(X),"163,173","±2,981","163,173",(X),"244,192","±3,559","244,192",(X),"575,413","±6,623","575,413",(X),"129,828","±3,843","129,828",(X),"241,400","±4,203","241,400",(X),"133,491","±3,094","133,491",(X),"323,282","±4,713","323,282",(X),"110,954","±2,722","110,954",(X),"447,680","±6,310","447,680",(X),"210,754","±2,612","210,754",(X),"762,309","±6,535","762,309",(X),"97,524","±2,960","97,524",(X),"470,223","±4,982","470,223",(X),"164,300","±2,574","164,300",(X),"277,520","±5,743","277,520",(X),"228,945","±3,762","228,945",(X)
1.00 or less,"100,666","±2,274",95.90%,±1.0,"155,879","±5,181",95.80%,±1.0,"478,365","±8,323",93.50%,±0.6,"191,645","±4,997",95.00%,±0.9,"80,926","±4,324",80.60%,±2.4,"101,780","±3,574",93.00%,±1.4,"134,776","±4,056",88.20%,±1.5,"74,141","±2,613",97.30%,±0.9,"139,044","±4,881",87.80%,±1.2,"1,119,306","±11,443",85.40%,±0.5,"140,409","±4,217",92.50%,±1.1,"78,688","±4,605",89.70%,±2.0,"167,687","±5,412",95.20%,±0.9,"433,911","±7,263",92.40%,±0.7,"315,595","±4,695",93.90%,±0.7,"267,796","±5,330",90.00%,±0.9,"48,029","±3,123",67.40%,±2.7,"81,122","±3,184",88.90%,±1.8,"112,777","±3,763",94.30%,±1.2,"163,456","±3,635",97.70%,±0.7,"251,739","±3,827",96.00%,±0.6,"245,317","±4,088",97.20%,±0.5,"302,209","±6,321",98.10%,±0.4,"135,114","±5,352",92.70%,±1.3,"94,241","±3,920",97.40%,±0.7,"130,505","±4,040",98.10%,±0.7,"166,633","±5,527",96.80%,±0.8,"967,869","±9,330",95.40%,±0.4,"315,702","±5,588",97.80%,±0.4,"146,576","±2,677",97.90%,±0.6,"135,924","±3,351",95.70%,±0.9,"232,308","±4,534",97.60%,±0.5,"246,252","±4,866",97.80%,±0.5,"246,341","±5,312",96.50%,±0.6,"161,054","±4,024",97.10%,±0.5,"104,106","±3,258",94.60%,±1.2,"101,296","±2,276",97.10%,±1.0,"159,013","±2,854",97.30%,±0.6,"96,983","±3,367",97.90%,±0.9,"200,896","±5,162",95.20%,±0.7,"87,025","±3,191",93.90%,±1.4,"84,492","±3,502",92.40%,±1.3,"217,972","±2,727",97.50%,±0.6,"2,763,104","±12,234",90.90%,±0.3,"106,541","±3,655",97.50%,±0.8,"122,614","±4,325",97.20%,±0.8,"163,242","±4,133",98.90%,±0.4,"310,869","±5,039",97.30%,±0.5,"158,108","±3,331",96.90%,±0.7,"236,310","±4,040",96.80%,±0.6,"562,530","±6,768",97.80%,±0.3,"128,846","±3,826",99.20%,±0.4,"231,959","±4,385",96.10%,±0.7,"126,143","±3,643",94.50%,±1.0,"306,969","±5,205",95.00%,±0.6,"105,264","±2,684",94.90%,±1.0,"411,093","±7,604",91.80%,±0.7,"198,405","±2,884",94.10%,±0.8,"703,503","±8,442",92.30%,±0.5,"95,734","±3,175",98.20%,±0.8,"446,489","±5,524",95.00%,±0.6,"161,795","±2,785",98.50%,±0.6,"270,912","±6,089",97.60%,±0.5,"220,803","±4,308",96.40%,±0.7
1.01 to 1.50,"3,120",±864,3.00%,±0.8,"4,973","±1,289",3.10%,±0.8,"22,900","±2,767",4.50%,±0.6,"6,793","±1,197",3.40%,±0.6,"11,767","±1,798",11.70%,±1.9,"5,386","±1,276",4.90%,±1.2,"9,903","±1,559",6.50%,±1.0,"1,660",±570,2.20%,±0.8,"11,606","±1,348",7.30%,±0.9,"93,090","±3,922",7.10%,±0.3,"7,811","±1,329",5.10%,±0.9,"7,156","±1,403",8.20%,±1.7,"6,109","±1,376",3.50%,±0.8,"20,259","±2,089",4.30%,±0.5,"9,151","±1,795",2.70%,±0.5,"20,201","±2,459",6.80%,±0.8,"13,242","±1,465",18.60%,±2.1,"7,416","±1,365",8.10%,±1.5,"4,790","±1,264",4.00%,±1.1,"3,292","±1,081",2.00%,±0.7,"7,619","±1,464",2.90%,±0.6,"4,215",±932,1.70%,±0.4,"4,537","±1,213",1.50%,±0.4,"7,435","±1,420",5.10%,±1.0,"2,237",±707,2.30%,±0.7,"2,186",±836,1.60%,±0.6,"4,218","±1,129",2.50%,±0.7,"31,947","±3,000",3.10%,±0.3,"5,842","±1,264",1.80%,±0.4,"2,288",±812,1.50%,±0.5,"4,559","±1,174",3.20%,±0.8,"3,690","±1,035",1.60%,±0.4,"3,443","±1,046",1.40%,±0.4,"5,820","±1,238",2.30%,±0.5,"3,541",±914,2.10%,±0.6,"3,952","±1,055",3.60%,±1.0,"2,516",±939,2.40%,±0.9,"3,424",±873,2.10%,±0.5,"1,646",±765,1.70%,±0.8,"5,937","±1,304",2.80%,±0.6,"3,890","±1,150",4.20%,±1.3,"4,377","±1,072",4.80%,±1.2,"3,852","±1,022",1.70%,±0.5,"177,219","±7,050",5.80%,±0.2,"2,015",±792,1.80%,±0.7,"2,275",±821,1.80%,±0.6,"1,152",±567,0.70%,±0.3,"7,049","±1,385",2.20%,±0.4,"4,126",±911,2.50%,±0.6,"5,508","±1,155",2.30%,±0.5,"9,279","±1,537",1.60%,±0.3,543,±371,0.40%,±0.3,"6,494","±1,374",2.70%,±0.6,"6,333","±1,282",4.70%,±1.0,"10,731","±1,681",3.30%,±0.5,"4,420","±1,064",4.00%,±0.9,"24,302","±2,600",5.40%,±0.6,"9,396","±1,611",4.50%,±0.8,"42,705","±3,248",5.60%,±0.4,"1,143",±656,1.20%,±0.7,"17,086","±2,096",3.60%,±0.4,"1,805",±723,1.10%,±0.4,"3,012",±782,1.10%,±0.3,"6,777","±1,419",3.00%,±0.6
1.51 or more,"1,207",±525,1.10%,±0.5,"1,839",±946,1.10%,±0.6,"10,167","±1,770",2.00%,±0.4,"3,323",±978,1.60%,±0.5,"7,711","±1,478",7.70%,±1.5,"2,254",±820,2.10%,±0.8,"8,211","±1,595",5.40%,±1.1,371,±273,0.50%,±0.4,"7,736","±1,523",4.90%,±1.0,"97,863","±4,689",7.50%,±0.4,"3,588","±1,086",2.40%,±0.7,"1,908",±721,2.20%,±0.9,"2,372",±875,1.30%,±0.5,"15,465","±2,147",3.30%,±0.5,"11,266","±1,982",3.40%,±0.6,"9,640","±1,813",3.20%,±0.6,"10,017","±1,496",14.10%,±2.2,"2,662",±787,2.90%,±0.9,"1,992",±805,1.70%,±0.7,613,±425,0.40%,±0.3,"2,735",±899,1.00%,±0.3,"2,856",±845,1.10%,±0.3,"1,427",±826,0.50%,±0.3,"3,273",±944,2.20%,±0.7,275,±286,0.30%,±0.3,379,±368,0.30%,±0.3,"1,308",±597,0.80%,±0.3,"14,760","±2,214",1.50%,±0.2,"1,156",±579,0.40%,±0.2,784,±460,0.50%,±0.3,"1,610",±608,1.10%,±0.4,"1,947",±714,0.80%,±0.3,"2,026",±752,0.80%,±0.3,"3,040",±775,1.20%,±0.3,"1,203",±695,0.70%,±0.4,"2,030",±777,1.80%,±0.7,474,±385,0.50%,±0.4,974,±506,0.60%,±0.3,466,±437,0.50%,±0.4,"4,117","±1,177",2.00%,±0.6,"1,734",±550,1.90%,±0.6,"2,545",±815,2.80%,±0.9,"1,681",±752,0.80%,±0.3,"99,144","±4,230",3.30%,±0.1,699,±429,0.60%,±0.4,"1,256",±649,1.00%,±0.5,596,±410,0.40%,±0.2,"1,510",±495,0.50%,±0.2,939,±547,0.60%,±0.3,"2,374",±738,1.00%,±0.3,"3,604","±1,099",0.60%,±0.2,439,±385,0.30%,±0.3,"2,947","±1,079",1.20%,±0.4,"1,015",±492,0.80%,±0.4,"5,582","±1,238",1.70%,±0.4,"1,270",±597,1.10%,±0.5,"12,285","±1,783",2.70%,±0.4,"2,953",±977,1.40%,±0.5,"16,101","±2,625",2.10%,±0.3,647,±466,0.70%,±0.5,"6,648","±1,497",1.40%,±0.3,700,±494,0.40%,±0.3,"3,596","±1,333",1.30%,±0.5,"1,365",±580,0.60%,±0.3
VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner-occupied units,"64,018","±2,242","64,018",(X),"100,527","±4,072","100,527",(X),"285,182","±7,086","285,182",(X),"105,875","±4,535","105,875",(X),"48,584","±2,753","48,584",(X),"64,761","±3,103","64,761",(X),"74,995","±3,481","74,995",(X),"38,163","±2,550","38,163",(X),"62,682","±2,749","62,682",(X),"493,028","±7,998","493,028",(X),"61,547","±3,357","61,547",(X),"50,025","±2,848","50,025",(X),"86,950","±4,208","86,950",(X),"224,874","±5,989","224,874",(X),"123,128","±4,317","123,128",(X),"173,280","±4,849","173,280",(X),"33,884","±2,319","33,884",(X),"47,779","±2,647","47,779",(X),"72,736","±3,039","72,736",(X),"97,971","±3,063","97,971",(X),"131,790","±3,587","131,790",(X),"107,193","±3,924","107,193",(X),"190,954","±5,481","190,954",(X),"47,978","±3,345","47,978",(X),"38,569","±2,955","38,569",(X),"67,733","±3,405","67,733",(X),"76,417","±3,983","76,417",(X),"465,248","±8,385","465,248",(X),"183,332","±4,460","183,332",(X),"92,297","±2,886","92,297",(X),"71,457","±2,896","71,457",(X),"109,283","±3,391","109,283",(X),"81,770","±3,771","81,770",(X),"135,864","±4,539","135,864",(X),"82,288","±3,562","82,288",(X),"56,517","±2,748","56,517",(X),"59,237","±2,274","59,237",(X),"95,584","±2,846","95,584",(X),"63,829","±3,116","63,829",(X),"113,974","±4,344","113,974",(X),"28,744","±2,462","28,744",(X),"21,695","±1,932","21,695",(X),"133,505","±3,890","133,505",(X),"976,294","±11,064","976,294",(X),"58,373","±2,797","58,373",(X),"53,430","±3,174","53,430",(X),"77,462","±3,356","77,462",(X),"151,463","±4,653","151,463",(X),"88,872","±3,044","88,872",(X),"129,761","±2,956","129,761",(X),"311,284","±6,713","311,284",(X),"66,693","±2,965","66,693",(X),"125,745","±3,852","125,745",(X),"76,848","±3,778","76,848",(X),"145,720","±4,888","145,720",(X),"64,265","±3,158","64,265",(X),"194,231","±4,868","194,231",(X),"125,754","±3,894","125,754",(X),"352,374","±6,158","352,374",(X),"64,034","±2,588","64,034",(X),"262,804","±4,755","262,804",(X),"107,949","±3,408","107,949",(X),"130,208","±4,120","130,208",(X),"102,660","±3,527","102,660",(X)
"Less than $50,000","2,660",±697,4.20%,±1.1,"12,079","±1,669",12.00%,±1.5,"21,476","±2,317",7.50%,±0.8,"10,199","±1,357",9.60%,±1.3,"2,856",±781,5.90%,±1.6,"2,480",±696,3.80%,±1.0,"4,067",±903,5.40%,±1.2,89,±105,0.20%,±0.3,"1,216",±478,1.90%,±0.8,"7,247","±1,073",1.50%,±0.2,665,±346,1.10%,±0.5,"1,987",±473,4.00%,±1.0,"3,062",±775,3.50%,±0.9,"4,269",±835,1.90%,±0.4,"1,227",±654,1.00%,±0.5,"4,466","±1,002",2.60%,±0.6,"2,504",±757,7.40%,±2.1,"1,710",±575,3.60%,±1.2,"3,496",±735,4.80%,±1.0,"4,118",±854,4.20%,±0.9,"2,481",±678,1.90%,±0.5,"1,900",±586,1.80%,±0.5,"15,248","±1,956",8.00%,±1.0,"1,012",±466,2.10%,±1.0,"1,670",±513,4.30%,±1.3,"2,897",±756,4.30%,±1.1,"3,347",±889,4.40%,±1.2,"14,099","±1,507",3.00%,±0.3,"15,575","±1,731",8.50%,±0.9,"8,617","±1,319",9.30%,±1.4,"3,219",±849,4.50%,±1.2,"7,470","±1,228",6.80%,±1.1,712,±344,0.90%,±0.4,"62,428","±3,361",45.90%,±2.1,"1,340",±408,1.60%,±0.5,"1,275",±466,2.30%,±0.8,"2,943",±777,5.00%,±1.3,"5,182",±905,5.40%,±0.9,"2,159",±938,3.40%,±1.4,"6,048","±1,132",5.30%,±1.0,224,±198,0.80%,±0.7,374,±255,1.70%,±1.1,"6,501","±1,111",4.90%,±0.8,"22,085","±1,888",2.30%,±0.2,"1,425",±705,2.40%,±1.2,"3,509",±927,6.60%,±1.7,"13,794","±1,763",17.80%,±2.0,"7,829","±1,071",5.20%,±0.7,"9,132","±1,406",10.30%,±1.5,"2,921",±667,2.30%,±0.5,"33,764","±2,606",10.80%,±0.8,"13,877","±1,782",20.80%,±2.3,"13,988","±1,449",11.10%,±1.1,"3,539","±1,006",4.60%,±1.3,"4,386",±976,3.00%,±0.7,"6,372","±1,190",9.90%,±1.8,"18,229","±2,248",9.40%,±1.1,"7,342","±1,317",5.80%,±1.0,"27,472","±2,195",7.80%,±0.6,"1,253",±466,2.00%,±0.7,"22,158","±2,404",8.40%,±0.9,"2,742",±794,2.50%,±0.7,"1,397",±650,1.10%,±0.5,"5,497","±1,044",5.40%,±1.0
"$50,000 to $99,999",790,±454,1.20%,±0.7,"13,329","±1,819",13.30%,±1.8,"57,274","±3,651",20.10%,±1.0,"14,396","±1,809",13.60%,±1.6,"1,175",±514,2.40%,±1.0,"6,982","±1,459",10.80%,±2.1,"8,200","±1,374",10.90%,±1.8,366,±213,1.00%,±0.6,"1,351",±577,2.20%,±0.9,"6,300","±1,057",1.30%,±0.2,"1,080",±502,1.80%,±0.8,"1,886",±619,3.80%,±1.2,"7,750","±1,536",8.90%,±1.7,"3,220",±721,1.40%,±0.3,"1,082",±461,0.90%,±0.4,"5,887","±1,211",3.40%,±0.7,"1,148",±420,3.40%,±1.2,"7,089","±1,316",14.80%,±2.7,"5,488",±894,7.50%,±1.1,"2,978",±809,3.00%,±0.8,"7,987","±1,337",6.10%,±1.0,"1,501",±586,1.40%,±0.5,"31,287","±3,073",16.40%,±1.5,"5,246","±1,047",10.90%,±1.9,"6,876","±1,536",17.80%,±3.7,"11,615","±1,533",17.10%,±2.0,"10,286","±1,424",13.50%,±1.8,"30,556","±2,801",6.60%,±0.6,"52,601","±2,860",28.70%,±1.3,"31,461","±2,263",34.10%,±2.3,"10,015","±1,396",14.00%,±1.9,"17,168","±2,205",15.70%,±2.0,762,±318,0.90%,±0.4,"51,854","±3,110",38.20%,±1.9,"3,912",±854,4.80%,±1.0,"3,999",±691,7.10%,±1.2,"8,654","±1,140",14.60%,±1.8,"20,096","±1,838",21.00%,±1.7,"3,407",±847,5.30%,±1.3,"19,768","±2,073",17.30%,±1.7,685,±372,2.40%,±1.3,858,±431,4.00%,±1.9,"7,169","±1,263",5.40%,±0.9,"19,499","±2,429",2.00%,±0.2,"10,894","±1,657",18.70%,±2.5,"13,979","±1,672",26.20%,±2.9,"40,211","±2,363",51.90%,±2.5,"34,793","±2,756",23.00%,±1.6,"22,039","±1,861",24.80%,±1.9,"2,167",±676,1.70%,±0.5,"68,240","±3,817",21.90%,±1.2,"24,676","±1,867",37.00%,±2.6,"48,542","±2,594",38.60%,±1.9,"16,980","±2,036",22.10%,±2.4,"7,915","±1,221",5.40%,±0.8,"18,389","±2,288",28.60%,±3.1,"53,430","±3,305",27.50%,±1.6,"43,106","±2,996",34.30%,±2.1,"101,614","±4,516",28.80%,±1.1,"1,981",±544,3.10%,±0.8,"87,701","±3,815",33.40%,±1.3,838,±386,0.80%,±0.4,410,±260,0.30%,±0.2,"25,713","±2,413",25.00%,±2.2
"$100,000 to $149,999","3,470",±972,5.40%,±1.5,"22,310","±2,138",22.20%,±1.8,"54,695","±3,828",19.20%,±1.2,"27,701","±2,744",26.20%,±2.1,812,±456,1.70%,±0.9,"13,245","±1,714",20.50%,±2.4,"10,580","±1,660",14.10%,±2.1,299,±320,0.80%,±0.8,"1,106",±512,1.80%,±0.8,"12,164","±1,757",2.50%,±0.4,"3,713",±950,6.00%,±1.5,"5,187","±1,180",10.40%,±2.2,"12,336","±1,613",14.20%,±1.7,"5,649","±1,038",2.50%,±0.5,"1,097",±563,0.90%,±0.5,"2,782",±731,1.60%,±0.4,"2,129",±777,6.30%,±2.2,"10,102","±1,675",21.10%,±3.0,"16,317","±1,484",22.40%,±2.0,"11,930","±1,466",12.20%,±1.4,"17,741","±1,953",13.50%,±1.4,"2,652",±758,2.50%,±0.7,"43,891","±3,323",23.00%,±1.6,"5,573",±899,11.60%,±1.8,"5,211","±1,217",13.50%,±2.9,"12,447","±1,682",18.40%,±2.2,"9,045","±1,639",11.80%,±1.9,"47,220","±3,425",10.10%,±0.7,"56,600","±3,297",30.90%,±1.6,"21,971","±2,251",23.80%,±2.2,"12,820","±1,557",17.90%,±2.0,"20,646","±2,285",18.90%,±2.0,980,±406,1.20%,±0.5,"11,887","±1,559",8.70%,±1.1,"11,160","±1,491",13.60%,±1.7,"9,883","±1,273",17.50%,±2.2,"21,142","±1,678",35.70%,±2.5,"32,917","±2,487",34.40%,±2.4,"7,928","±1,311",12.40%,±1.8,"23,183","±2,406",20.30%,±2.0,"1,084",±520,3.80%,±1.8,"1,458",±533,6.70%,±2.5,"23,668","±2,589",17.70%,±1.7,"18,951","±1,930",1.90%,±0.2,"17,129","±1,805",29.30%,±3.0,"13,723","±1,639",25.70%,±2.5,"14,527","±1,574",18.80%,±1.8,"44,219","±2,665",29.20%,±1.6,"22,511","±1,946",25.30%,±2.2,"5,095","±1,128",3.90%,±0.9,"61,332","±3,741",19.70%,±1.1,"10,404","±1,371",15.60%,±1.9,"27,786","±2,387",22.10%,±1.7,"28,913","±2,760",37.60%,±3.1,"24,502","±2,623",16.80%,±1.6,"19,361","±2,011",30.10%,±2.6,"33,229","±2,723",17.10%,±1.3,"34,701","±2,641",27.60%,±1.9,"77,808","±4,360",22.10%,±1.2,"7,905","±1,181",12.30%,±1.8,"61,862","±3,676",23.50%,±1.3,"4,433","±1,008",4.10%,±0.9,"1,181",±701,0.90%,±0.5,"31,664","±1,997",30.80%,±1.8
"$150,000 to $199,999","7,084","±1,483",11.10%,±2.3,"20,989","±1,983",20.90%,±1.8,"44,019","±3,017",15.40%,±1.0,"24,394","±2,060",23.00%,±1.8,"1,068",±591,2.20%,±1.2,"16,069","±1,826",24.80%,±2.7,"15,418","±2,059",20.60%,±2.6,283,±211,0.70%,±0.5,"2,788",±747,4.40%,±1.2,"18,788","±1,899",3.80%,±0.4,"3,695",±905,6.00%,±1.4,"10,464","±1,429",20.90%,±2.6,"12,700","±1,612",14.60%,±1.8,"11,716","±1,788",5.20%,±0.8,"1,310",±572,1.10%,±0.5,"3,624",±879,2.10%,±0.5,"2,287",±564,6.70%,±1.6,"10,128","±1,480",21.20%,±3.1,"20,719","±1,963",28.50%,±2.3,"25,823","±2,212",26.40%,±2.0,"19,857","±1,773",15.10%,±1.3,"3,697",±718,3.40%,±0.7,"39,838","±3,053",20.90%,±1.5,"8,813","±1,457",18.40%,±2.9,"8,479","±1,414",22.00%,±3.5,"12,102","±1,603",17.90%,±2.4,"11,760","±1,459",15.40%,±1.8,"79,565","±3,739",17.10%,±0.8,"29,635","±2,453",16.20%,±1.3,"14,165","±1,870",15.30%,±2.0,"15,450","±1,744",21.60%,±2.2,"23,523","±2,482",21.50%,±2.1,"3,733","±1,047",4.60%,±1.2,"5,195","±1,104",3.80%,±0.8,"18,433","±2,126",22.40%,±2.2,"15,824","±1,775",28.00%,±2.7,"12,248","±1,472",20.70%,±2.3,"17,762","±1,738",18.60%,±1.9,"12,959","±1,643",20.30%,±2.2,"19,653","±2,170",17.20%,±1.8,"2,327",±696,8.10%,±2.4,"3,034",±828,14.00%,±3.5,"33,446","±2,144",25.10%,±1.5,"32,239","±2,597",3.30%,±0.3,"11,045","±1,537",18.90%,±2.6,"8,133","±1,370",15.20%,±2.3,"5,474","±1,141",7.10%,±1.4,"34,131","±3,116",22.50%,±1.8,"12,956","±1,535",14.60%,±1.5,"13,429","±1,675",10.30%,±1.3,"48,035","±3,366",15.40%,±0.9,"6,250","±1,173",9.40%,±1.7,"14,394","±1,654",11.40%,±1.3,"15,183","±2,000",19.80%,±2.3,"30,138","±2,349",20.70%,±1.5,"10,351","±1,536",16.10%,±2.3,"18,794","±1,804",9.70%,±0.9,"20,078","±1,971",16.00%,±1.6,"42,608","±2,931",12.10%,±0.8,"15,699","±1,560",24.50%,±2.2,"44,393","±2,774",16.90%,±1.1,"14,422","±1,915",13.40%,±1.6,"2,913",±888,2.20%,±0.7,"25,488","±2,147",24.80%,±1.8
