Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Electricity',)","Charlotte city, North Carolina","177,154","±5,417",51.70%,±1.2
"('Electricity',)","Chicago city, Illinois","178,014","±7,563",16.50%,±0.7
"('Electricity',)","Cincinnati city, Ohio","52,918","±3,335",38.50%,±2.2
"('Electricity',)","Cleveland city, Ohio","28,034","±2,468",16.30%,±1.3
"('Electricity',)","Colorado Springs city, Colorado","49,442","±3,923",26.20%,±2.0
"('Electricity',)","Columbus city, Ohio","117,982","±5,749",32.00%,±1.4
"('Electricity',)","Corpus Christi city, Texas",N,N,N,N
"('Electricity',)","Dallas city, Texas","344,758","±6,627",66.40%,±1.0
"('Electricity',)","Denver city, Colorado","100,741","±5,188",31.60%,±1.6
"('Electricity',)","Detroit city, Michigan","28,111","±2,475",10.50%,±1.0
"('Electricity',)","Durham city, North Carolina","69,512","±3,751",60.60%,±2.8
"('Electricity',)","El Paso city, Texas","62,006","±3,894",27.80%,±1.6
"('Electricity',)","Fort Worth city, Texas","209,641","±6,870",67.80%,±1.7
"('Electricity',)","Fresno city, California","64,464","±3,678",37.30%,±2.0
"('Electricity',)","Greensboro city, North Carolina","67,381","±3,989",57.10%,±2.6
"('Electricity',)","Henderson city, Nevada","39,280","±3,012",32.40%,±2.3
"('Electricity',)","Houston city, Texas","586,158","±10,944",66.90%,±0.9
"('Electricity',)","Indianapolis city (balance), Indiana","130,201","±5,480",38.20%,±1.6
"('Electricity',)","Irvine city, California","37,409","±3,937",35.80%,±3.2
"('Electricity',)","Jacksonville city, Florida","333,577","±5,092",95.50%,±0.6
"('Electricity',)","Jersey City city, New Jersey","29,315","±2,662",26.90%,±2.4
"('Electricity',)","Kansas City city, Missouri","56,486","±3,427",26.90%,±1.6
"('Electricity',)","Las Vegas city, Nevada","99,671","±4,222",42.30%,±1.6
"('Electricity',)","Lincoln city, Nebraska",N,N,N,N
"('Electricity',)","Long Beach city, California","39,533","±2,883",23.90%,±1.7
"('Electricity',)","Los Angeles city, California","431,427","±8,243",30.80%,±0.6
"('Electricity',)","Memphis city, Tennessee","128,968","±5,541",50.70%,±1.9
"('Electricity',)","Mesa city, Arizona","149,205","±4,535",79.70%,±1.4
"('Electricity',)","Miami city, Florida","176,012","±6,021",93.10%,±1.0
"('Electricity',)","Milwaukee city, Wisconsin","29,416","±2,476",12.70%,±1.0
"('Electricity',)","Minneapolis city, Minnesota","39,040","±3,065",21.50%,±1.6
"('Electricity',)","New Orleans city, Louisiana","96,632","±3,353",63.70%,±1.7
"('Electricity',)","New York city, New York","405,735","±12,037",12.60%,±0.4
"('Electricity',)","Newark city, New Jersey","19,326","±2,735",18.90%,±2.6
"('Electricity',)","Oakland city, California","42,471","±3,600",25.20%,±2.0
"('Electricity',)","Oklahoma City city, Oklahoma","95,583","±4,108",38.30%,±1.5
"('Electricity',)","Omaha city, Nebraska","41,895","±3,228",22.20%,±1.6
"('Electricity',)","Orlando city, Florida","102,941","±4,270",94.00%,±1.2
"('Electricity',)","Philadelphia city, Pennsylvania","141,175","±6,614",22.80%,±1.0
"('Electricity',)","Phoenix city, Arizona","444,209","±7,005",75.70%,±0.8
"('Electricity',)","Pittsburgh city, Pennsylvania","28,969","±2,229",20.20%,±1.5
"('Electricity',)","Plano city, Texas",N,N,N,N
"('Electricity',)","Portland city, Oregon","132,076","±4,194",47.10%,±1.3
"('Electricity',)","Raleigh city, North Carolina","107,988","±4,954",57.30%,±2.2
"('Electricity',)","Riverside city, California","19,682","±2,060",22.60%,±2.3
"('Electricity',)","Sacramento city, California","69,653","±4,166",36.30%,±1.9
"('Electricity',)","San Antonio city, Texas","343,882","±7,480",67.10%,±1.2
"('Electricity',)","San Diego city, California","175,370","±6,575",34.20%,±1.3
"('Electricity',)","San Francisco city, California","113,949","±5,214",31.10%,±1.4
"('Electricity',)","San Jose city, California","118,297","±4,881",36.10%,±1.4
"('Electricity',)","Santa Ana city, California","19,693","±2,035",24.70%,±2.3
"('Electricity',)","Seattle city, Washington","198,519","±6,298",57.70%,±1.5
"('Electricity',)","St. Louis city, Missouri","42,653","±3,260",29.10%,±2.1
"('Electricity',)","St. Paul city, Minnesota","26,507","±2,313",23.90%,±2.0
"('Electricity',)","Stockton city, California","25,550","±2,720",26.60%,±2.6
"('Electricity',)","Tampa city, Florida","142,984","±3,557",92.90%,±0.9
"('Electricity',)","Tucson city, Arizona","98,731","±4,395",45.30%,±1.7
"('Electricity',)","Tulsa city, Oklahoma","59,791","±1,980",36.50%,±1.0
"('Electricity',)","Virginia Beach city, Virginia","108,487","±3,409",62.00%,±1.8
"('Electricity',)","Washington city, District of Columbia","128,752","±5,061",44.20%,±1.6
"('Electricity',)","Wichita city, Kansas","46,500","±3,647",30.30%,±2.2
"('Fuel oil, kerosene, etc.',)","Albuquerque city, New Mexico",0,±210,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Anaheim city, California",51,±86,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Anchorage municipality, Alaska","3,601","±1,333",3.40%,±1.2
"('Fuel oil, kerosene, etc.',)","Arlington city, Texas",N,N,N,N
"('Fuel oil, kerosene, etc.',)","Atlanta city, Georgia",N,N,N,N
"('Fuel oil, kerosene, etc.',)","Aurora city, Colorado",0,±206,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Austin city, Texas",315,±348,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Bakersfield city, California",49,±80,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Baltimore city, Maryland","9,668","±1,392",4.00%,±0.6
"('Fuel oil, kerosene, etc.',)","Boston city, Massachusetts","20,043","±2,609",7.40%,±1.0
"('Fuel oil, kerosene, etc.',)","Charlotte city, North Carolina","1,072",±427,0.30%,±0.1
"('Fuel oil, kerosene, etc.',)","Chicago city, Illinois","2,103",±626,0.20%,±0.1
"('Fuel oil, kerosene, etc.',)","Cincinnati city, Ohio",200,±124,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Cleveland city, Ohio",59,±100,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Colorado Springs city, Colorado",94,±157,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Columbus city, Ohio",586,±361,0.20%,±0.1
"('Fuel oil, kerosene, etc.',)","Corpus Christi city, Texas",N,N,N,N
"('Fuel oil, kerosene, etc.',)","Dallas city, Texas",571,±456,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Denver city, Colorado",273,±336,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Detroit city, Michigan",336,±298,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Durham city, North Carolina",577,±362,0.50%,±0.3
"('Fuel oil, kerosene, etc.',)","El Paso city, Texas",75,±89,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Fort Worth city, Texas",262,±231,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Fresno city, California",119,±143,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Greensboro city, North Carolina",521,±222,0.40%,±0.2
"('Fuel oil, kerosene, etc.',)","Henderson city, Nevada",104,±167,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Houston city, Texas",155,±215,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Indianapolis city (balance), Indiana",435,±303,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Irvine city, California",74,±121,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Jacksonville city, Florida",698,±325,0.20%,±0.1
"('Fuel oil, kerosene, etc.',)","Jersey City city, New Jersey","2,894",±884,2.70%,±0.8
"('Fuel oil, kerosene, etc.',)","Kansas City city, Missouri",84,±101,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Las Vegas city, Nevada",127,±121,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Lincoln city, Nebraska",N,N,N,N
"('Fuel oil, kerosene, etc.',)","Long Beach city, California",264,±347,0.20%,±0.2
"('Fuel oil, kerosene, etc.',)","Los Angeles city, California","1,678",±724,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Memphis city, Tennessee",141,±116,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Mesa city, Arizona",196,±204,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Miami city, Florida",165,±165,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Milwaukee city, Wisconsin","1,594",±514,0.70%,±0.2
"('Fuel oil, kerosene, etc.',)","Minneapolis city, Minnesota",492,±268,0.30%,±0.1
"('Fuel oil, kerosene, etc.',)","New Orleans city, Louisiana",25,±44,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","New York city, New York","473,788","±10,182",14.80%,±0.3
"('Fuel oil, kerosene, etc.',)","Newark city, New Jersey","4,477","±1,121",4.40%,±1.1
"('Fuel oil, kerosene, etc.',)","Oakland city, California",0,±216,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Oklahoma City city, Oklahoma",45,±76,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Omaha city, Nebraska",174,±164,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Orlando city, Florida",44,±72,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Philadelphia city, Pennsylvania","21,264","±2,953",3.40%,±0.5
"('Fuel oil, kerosene, etc.',)","Phoenix city, Arizona",254,±232,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Pittsburgh city, Pennsylvania","1,367",±621,1.00%,±0.4
"('Fuel oil, kerosene, etc.',)","Plano city, Texas",N,N,N,N
"('Fuel oil, kerosene, etc.',)","Portland city, Oregon","7,083","±1,068",2.50%,±0.4
"('Fuel oil, kerosene, etc.',)","Raleigh city, North Carolina",157,±157,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Riverside city, California",0,±216,0.00%,±0.2
"('Fuel oil, kerosene, etc.',)","Sacramento city, California",0,±216,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","San Antonio city, Texas",102,±133,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","San Diego city, California",234,±222,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","San Francisco city, California",287,±246,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","San Jose city, California",232,±212,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Santa Ana city, California",0,±216,0.00%,±0.2
"('Fuel oil, kerosene, etc.',)","Seattle city, Washington","11,326","±1,391",3.30%,±0.4
"('Fuel oil, kerosene, etc.',)","St. Louis city, Missouri",147,±149,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","St. Paul city, Minnesota",251,±202,0.20%,±0.2
"('Fuel oil, kerosene, etc.',)","Stockton city, California",50,±85,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Tampa city, Florida",0,±234,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Tucson city, Arizona",35,±57,0.00%,±0.1
"('Fuel oil, kerosene, etc.',)","Tulsa city, Oklahoma",84,±97,0.10%,±0.1
"('Fuel oil, kerosene, etc.',)","Virginia Beach city, Virginia","3,343",±773,1.90%,±0.4
"('Fuel oil, kerosene, etc.',)","Washington city, District of Columbia","2,931",±861,1.00%,±0.3
"('Fuel oil, kerosene, etc.',)","Wichita city, Kansas",21,±39,0.00%,±0.1
"('Coal or coke',)","Albuquerque city, New Mexico",299,±420,0.10%,±0.2
"('Coal or coke',)","Anaheim city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Anchorage municipality, Alaska",0,±163,0.00%,±0.1
"('Coal or coke',)","Arlington city, Texas",N,N,N,N
"('Coal or coke',)","Atlanta city, Georgia",N,N,N,N
"('Coal or coke',)","Aurora city, Colorado",0,±206,0.00%,±0.1
"('Coal or coke',)","Austin city, Texas",243,±372,0.10%,±0.1
"('Coal or coke',)","Bakersfield city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Baltimore city, Maryland",0,±210,0.00%,±0.1
"('Coal or coke',)","Boston city, Massachusetts",0,±216,0.00%,±0.1
"('Coal or coke',)","Charlotte city, North Carolina",53,±86,0.00%,±0.1
"('Coal or coke',)","Chicago city, Illinois",253,±181,0.00%,±0.1
"('Coal or coke',)","Cincinnati city, Ohio",0,±198,0.00%,±0.1
"('Coal or coke',)","Cleveland city, Ohio",0,±198,0.00%,±0.1
"('Coal or coke',)","Colorado Springs city, Colorado",0,±206,0.00%,±0.1
"('Coal or coke',)","Columbus city, Ohio",0,±198,0.00%,±0.1
"('Coal or coke',)","Corpus Christi city, Texas",N,N,N,N
"('Coal or coke',)","Dallas city, Texas",0,±234,0.00%,±0.1
"('Coal or coke',)","Denver city, Colorado",0,±206,0.00%,±0.1
"('Coal or coke',)","Detroit city, Michigan",27,±45,0.00%,±0.1
"('Coal or coke',)","Durham city, North Carolina",0,±216,0.00%,±0.2
"('Coal or coke',)","El Paso city, Texas",0,±234,0.00%,±0.1
"('Coal or coke',)","Fort Worth city, Texas",0,±234,0.00%,±0.1
"('Coal or coke',)","Fresno city, California",0,±216,0.00%,±0.1
"('Coal or coke',)","Greensboro city, North Carolina",0,±216,0.00%,±0.2
"('Coal or coke',)","Henderson city, Nevada",0,±216,0.00%,±0.2
"('Coal or coke',)","Houston city, Texas",87,±144,0.00%,±0.1
"('Coal or coke',)","Indianapolis city (balance), Indiana",122,±215,0.00%,±0.1
"('Coal or coke',)","Irvine city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Jacksonville city, Florida",56,±109,0.00%,±0.1
"('Coal or coke',)","Jersey City city, New Jersey",0,±213,0.00%,±0.2
"('Coal or coke',)","Kansas City city, Missouri",45,±81,0.00%,±0.1
"('Coal or coke',)","Las Vegas city, Nevada",71,±86,0.00%,±0.1
"('Coal or coke',)","Lincoln city, Nebraska",N,N,N,N
"('Coal or coke',)","Long Beach city, California",0,±216,0.00%,±0.1
"('Coal or coke',)","Los Angeles city, California",85,±136,0.00%,±0.1
"('Coal or coke',)","Memphis city, Tennessee",260,±357,0.10%,±0.1
"('Coal or coke',)","Mesa city, Arizona",47,±78,0.00%,±0.1
"('Coal or coke',)","Miami city, Florida",0,±234,0.00%,±0.1
"('Coal or coke',)","Milwaukee city, Wisconsin",109,±100,0.00%,±0.1
"('Coal or coke',)","Minneapolis city, Minnesota",57,±92,0.00%,±0.1
"('Coal or coke',)","New Orleans city, Louisiana",0,±224,0.00%,±0.1
"('Coal or coke',)","New York city, New York","1,588",±814,0.00%,±0.1
"('Coal or coke',)","Newark city, New Jersey",0,±213,0.00%,±0.2
"('Coal or coke',)","Oakland city, California",61,±102,0.00%,±0.1
"('Coal or coke',)","Oklahoma City city, Oklahoma",28,±51,0.00%,±0.1
"('Coal or coke',)","Omaha city, Nebraska",0,±165,0.00%,±0.1
"('Coal or coke',)","Orlando city, Florida",0,±234,0.00%,±0.2
"('Coal or coke',)","Philadelphia city, Pennsylvania",461,±484,0.10%,±0.1
"('Coal or coke',)","Phoenix city, Arizona",0,±218,0.00%,±0.1
"('Coal or coke',)","Pittsburgh city, Pennsylvania",166,±206,0.10%,±0.1
"('Coal or coke',)","Plano city, Texas",N,N,N,N
"('Coal or coke',)","Portland city, Oregon",209,±212,0.10%,±0.1
"('Coal or coke',)","Raleigh city, North Carolina",0,±216,0.00%,±0.1
"('Coal or coke',)","Riverside city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Sacramento city, California",0,±216,0.00%,±0.1
"('Coal or coke',)","San Antonio city, Texas",36,±60,0.00%,±0.1
"('Coal or coke',)","San Diego city, California",0,±216,0.00%,±0.1
"('Coal or coke',)","San Francisco city, California",63,±101,0.00%,±0.1
"('Coal or coke',)","San Jose city, California",0,±216,0.00%,±0.1
"('Coal or coke',)","Santa Ana city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Seattle city, Washington",0,±210,0.00%,±0.1
"('Coal or coke',)","St. Louis city, Missouri",0,±195,0.00%,±0.1
"('Coal or coke',)","St. Paul city, Minnesota",0,±149,0.00%,±0.1
"('Coal or coke',)","Stockton city, California",0,±216,0.00%,±0.2
"('Coal or coke',)","Tampa city, Florida",0,±234,0.00%,±0.1
"('Coal or coke',)","Tucson city, Arizona",92,±153,0.00%,±0.1
"('Coal or coke',)","Tulsa city, Oklahoma",0,±165,0.00%,±0.1
"('Coal or coke',)","Virginia Beach city, Virginia",0,±208,0.00%,±0.1
"('Coal or coke',)","Washington city, District of Columbia",0,±218,0.00%,±0.1
"('Coal or coke',)","Wichita city, Kansas",0,±181,0.00%,±0.1
"('Wood',)","Albuquerque city, New Mexico","1,309",±778,0.60%,±0.3
"('Wood',)","Anaheim city, California",37,±62,0.00%,±0.1
"('Wood',)","Anchorage municipality, Alaska",367,±331,0.30%,±0.3
"('Wood',)","Arlington city, Texas",N,N,N,N
"('Wood',)","Atlanta city, Georgia",N,N,N,N
"('Wood',)","Aurora city, Colorado",36,±58,0.00%,±0.1
"('Wood',)","Austin city, Texas",145,±179,0.00%,±0.1
"('Wood',)","Bakersfield city, California",70,±83,0.10%,±0.1
"('Wood',)","Baltimore city, Maryland",55,±95,0.00%,±0.1
"('Wood',)","Boston city, Massachusetts",140,±219,0.10%,±0.1
"('Wood',)","Charlotte city, North Carolina",210,±188,0.10%,±0.1
"('Wood',)","Chicago city, Illinois",64,±106,0.00%,±0.1
"('Wood',)","Cincinnati city, Ohio",0,±198,0.00%,±0.1
"('Wood',)","Cleveland city, Ohio",28,±46,0.00%,±0.1
"('Wood',)","Colorado Springs city, Colorado",439,±331,0.20%,±0.2
"('Wood',)","Columbus city, Ohio",128,±156,0.00%,±0.1
"('Wood',)","Corpus Christi city, Texas",N,N,N,N
"('Wood',)","Dallas city, Texas",147,±188,0.00%,±0.1
"('Wood',)","Denver city, Colorado",124,±152,0.00%,±0.1
"('Wood',)","Detroit city, Michigan",479,±330,0.20%,±0.1
"('Wood',)","Durham city, North Carolina",118,±151,0.10%,±0.1
"('Wood',)","El Paso city, Texas",0,±234,0.00%,±0.1
"('Wood',)","Fort Worth city, Texas",101,±117,0.00%,±0.1
"('Wood',)","Fresno city, California",251,±196,0.10%,±0.1
"('Wood',)","Greensboro city, North Carolina",123,±156,0.10%,±0.1
"('Wood',)","Henderson city, Nevada",114,±137,0.10%,±0.1
"('Wood',)","Houston city, Texas",50,±83,0.00%,±0.1
"('Wood',)","Indianapolis city (balance), Indiana",171,±203,0.10%,±0.1
"('Wood',)","Irvine city, California",0,±216,0.00%,±0.2
"('Wood',)","Jacksonville city, Florida",389,±332,0.10%,±0.1
"('Wood',)","Jersey City city, New Jersey",76,±124,0.10%,±0.1
"('Wood',)","Kansas City city, Missouri",448,±251,0.20%,±0.1
"('Wood',)","Las Vegas city, Nevada",429,±329,0.20%,±0.1
"('Wood',)","Lincoln city, Nebraska",N,N,N,N
"('Wood',)","Long Beach city, California",376,±360,0.20%,±0.2
"('Wood',)","Los Angeles city, California","2,334",±860,0.20%,±0.1
"('Wood',)","Memphis city, Tennessee",124,±206,0.00%,±0.1
"('Wood',)","Mesa city, Arizona",617,±490,0.30%,±0.3
"('Wood',)","Miami city, Florida",51,±80,0.00%,±0.1
"('Wood',)","Milwaukee city, Wisconsin",128,±140,0.10%,±0.1
"('Wood',)","Minneapolis city, Minnesota",39,±66,0.00%,±0.1
"('Wood',)","New Orleans city, Louisiana",101,±110,0.10%,±0.1
"('Wood',)","New York city, New York","1,421",±948,0.00%,±0.1
"('Wood',)","Newark city, New Jersey",0,±213,0.00%,±0.2
"('Wood',)","Oakland city, California",204,±185,0.10%,±0.1
"('Wood',)","Oklahoma City city, Oklahoma",767,±484,0.30%,±0.2
"('Wood',)","Omaha city, Nebraska",93,±109,0.00%,±0.1
"('Wood',)","Orlando city, Florida",0,±234,0.00%,±0.2
"('Wood',)","Philadelphia city, Pennsylvania",85,±102,0.00%,±0.1
"('Wood',)","Phoenix city, Arizona",984,±701,0.20%,±0.1
"('Wood',)","Pittsburgh city, Pennsylvania",77,±134,0.10%,±0.1
"('Wood',)","Plano city, Texas",N,N,N,N
"('Wood',)","Portland city, Oregon","1,889",±932,0.70%,±0.3
"('Wood',)","Raleigh city, North Carolina",114,±143,0.10%,±0.1
"('Wood',)","Riverside city, California",432,±323,0.50%,±0.4
"('Wood',)","Sacramento city, California",547,±400,0.30%,±0.2
"('Wood',)","San Antonio city, Texas",430,±305,0.10%,±0.1
"('Wood',)","San Diego city, California",888,±478,0.20%,±0.1
"('Wood',)","San Francisco city, California",62,±105,0.00%,±0.1
"('Wood',)","San Jose city, California",263,±295,0.10%,±0.1
"('Wood',)","Santa Ana city, California",173,±142,0.20%,±0.2
"('Wood',)","Seattle city, Washington","1,074",±608,0.30%,±0.2
"('Wood',)","St. Louis city, Missouri",398,±352,0.30%,±0.2
"('Wood',)","St. Paul city, Minnesota",424,±257,0.40%,±0.2
"('Wood',)","Stockton city, California",246,±218,0.30%,±0.2
"('Wood',)","Tampa city, Florida",43,±71,0.00%,±0.1
"('Wood',)","Tucson city, Arizona",638,±419,0.30%,±0.2
"('Wood',)","Tulsa city, Oklahoma",295,±252,0.20%,±0.2
"('Wood',)","Virginia Beach city, Virginia",18,±39,0.00%,±0.1
"('Wood',)","Washington city, District of Columbia",0,±218,0.00%,±0.1
"('Wood',)","Wichita city, Kansas",331,±295,0.20%,±0.2
"('Solar energy',)","Albuquerque city, New Mexico",514,±301,0.20%,±0.1
"('Solar energy',)","Anaheim city, California",219,±160,0.20%,±0.2
"('Solar energy',)","Anchorage municipality, Alaska",0,±163,0.00%,±0.1
"('Solar energy',)","Arlington city, Texas",N,N,N,N
"('Solar energy',)","Atlanta city, Georgia",N,N,N,N
"('Solar energy',)","Aurora city, Colorado",699,±328,0.50%,±0.2
"('Solar energy',)","Austin city, Texas",836,±399,0.20%,±0.1
"('Solar energy',)","Bakersfield city, California","2,474","±1,407",2.10%,±1.2
"('Solar energy',)","Baltimore city, Maryland",342,±257,0.10%,±0.1
"('Solar energy',)","Boston city, Massachusetts",293,±217,0.10%,±0.1
"('Solar energy',)","Charlotte city, North Carolina",139,±148,0.00%,±0.1
"('Solar energy',)","Chicago city, Illinois",355,±300,0.00%,±0.1
"('Solar energy',)","Cincinnati city, Ohio",66,±112,0.00%,±0.1
"('Solar energy',)","Cleveland city, Ohio",0,±198,0.00%,±0.1
"('Solar energy',)","Colorado Springs city, Colorado",0,±206,0.00%,±0.1
"('Solar energy',)","Columbus city, Ohio",46,±76,0.00%,±0.1
"('Solar energy',)","Corpus Christi city, Texas",N,N,N,N
"('Solar energy',)","Dallas city, Texas",648,±395,0.10%,±0.1
"('Solar energy',)","Denver city, Colorado","1,119",±684,0.40%,±0.2
"('Solar energy',)","Detroit city, Michigan",163,±262,0.10%,±0.1
"('Solar energy',)","Durham city, North Carolina",73,±122,0.10%,±0.1
"('Solar energy',)","El Paso city, Texas",445,±296,0.20%,±0.1
"('Solar energy',)","Fort Worth city, Texas",655,±360,0.20%,±0.1
"('Solar energy',)","Fresno city, California","3,185",±924,1.80%,±0.5
"('Solar energy',)","Greensboro city, North Carolina",0,±216,0.00%,±0.2
"('Solar energy',)","Henderson city, Nevada",469,±271,0.40%,±0.2
"('Solar energy',)","Houston city, Texas",320,±314,0.00%,±0.1
"('Solar energy',)","Indianapolis city (balance), Indiana",103,±129,0.00%,±0.1
"('Solar energy',)","Irvine city, California",354,±294,0.30%,±0.3
"('Solar energy',)","Jacksonville city, Florida",191,±120,0.10%,±0.1
"('Solar energy',)","Jersey City city, New Jersey",0,±213,0.00%,±0.2
"('Solar energy',)","Kansas City city, Missouri",53,±87,0.00%,±0.1
"('Solar energy',)","Las Vegas city, Nevada",993,±389,0.40%,±0.2
"('Solar energy',)","Lincoln city, Nebraska",N,N,N,N
"('Solar energy',)","Long Beach city, California",526,±278,0.30%,±0.2
"('Solar energy',)","Los Angeles city, California","5,728","±1,168",0.40%,±0.1
"('Solar energy',)","Memphis city, Tennessee",94,±150,0.00%,±0.1
"('Solar energy',)","Mesa city, Arizona",395,±265,0.20%,±0.1
"('Solar energy',)","Miami city, Florida",0,±234,0.00%,±0.1
"('Solar energy',)","Milwaukee city, Wisconsin",0,±153,0.00%,±0.1
"('Solar energy',)","Minneapolis city, Minnesota",142,±195,0.10%,±0.1
"('Solar energy',)","New Orleans city, Louisiana",207,±187,0.10%,±0.1
"('Solar energy',)","New York city, New York","2,662",±964,0.10%,±0.1
"('Solar energy',)","Newark city, New Jersey",42,±73,0.00%,±0.1
"('Solar energy',)","Oakland city, California",487,±268,0.30%,±0.2
"('Solar energy',)","Oklahoma City city, Oklahoma",68,±113,0.00%,±0.1
"('Solar energy',)","Omaha city, Nebraska",0,±165,0.00%,±0.1
"('Solar energy',)","Orlando city, Florida",395,±351,0.40%,±0.3
"('Solar energy',)","Philadelphia city, Pennsylvania",441,±511,0.10%,±0.1
"('Solar energy',)","Phoenix city, Arizona","3,024",±766,0.50%,±0.1
"('Solar energy',)","Pittsburgh city, Pennsylvania",66,±79,0.00%,±0.1
"('Solar energy',)","Plano city, Texas",N,N,N,N
"('Solar energy',)","Portland city, Oregon",0,±211,0.00%,±0.1
"('Solar energy',)","Raleigh city, North Carolina",0,±216,0.00%,±0.1
"('Solar energy',)","Riverside city, California",338,±200,0.40%,±0.2
"('Solar energy',)","Sacramento city, California",505,±313,0.30%,±0.2
"('Solar energy',)","San Antonio city, Texas",832,±463,0.20%,±0.1
"('Solar energy',)","San Diego city, California","5,313",±974,1.00%,±0.2
"('Solar energy',)","San Francisco city, California","1,135",±536,0.30%,±0.1
"('Solar energy',)","San Jose city, California","2,860","±1,009",0.90%,±0.3
"('Solar energy',)","Santa Ana city, California",201,±166,0.30%,±0.2
"('Solar energy',)","Seattle city, Washington",149,±175,0.00%,±0.1
"('Solar energy',)","St. Louis city, Missouri",107,±176,0.10%,±0.1
"('Solar energy',)","St. Paul city, Minnesota",72,±119,0.10%,±0.1
"('Solar energy',)","Stockton city, California",785,±386,0.80%,±0.4
"('Solar energy',)","Tampa city, Florida",24,±39,0.00%,±0.1
"('Solar energy',)","Tucson city, Arizona","1,318",±631,0.60%,±0.3
"('Solar energy',)","Tulsa city, Oklahoma",44,±72,0.00%,±0.1
"('Solar energy',)","Virginia Beach city, Virginia",138,±181,0.10%,±0.1
"('Solar energy',)","Washington city, District of Columbia",664,±353,0.20%,±0.1
"('Solar energy',)","Wichita city, Kansas",0,±181,0.00%,±0.1
"('Other fuel',)","Albuquerque city, New Mexico","1,280",±801,0.60%,±0.4
"('Other fuel',)","Anaheim city, California",58,±94,0.10%,±0.1
"('Other fuel',)","Anchorage municipality, Alaska",690,±518,0.70%,±0.5
"('Other fuel',)","Arlington city, Texas",N,N,N,N
"('Other fuel',)","Atlanta city, Georgia",N,N,N,N
"('Other fuel',)","Aurora city, Colorado",309,±298,0.20%,±0.2
"('Other fuel',)","Austin city, Texas",246,±256,0.10%,±0.1
"('Other fuel',)","Bakersfield city, California",0,±216,0.00%,±0.2
"('Other fuel',)","Baltimore city, Maryland",767,±357,0.30%,±0.1
"('Other fuel',)","Boston city, Massachusetts","1,397",±613,0.50%,±0.2
"('Other fuel',)","Charlotte city, North Carolina",388,±263,0.10%,±0.1
"('Other fuel',)","Chicago city, Illinois","8,721","±1,516",0.80%,±0.1
"('Other fuel',)","Cincinnati city, Ohio",805,±369,0.60%,±0.3
"('Other fuel',)","Cleveland city, Ohio",741,±399,0.40%,±0.2
"('Other fuel',)","Colorado Springs city, Colorado","1,486",±579,0.80%,±0.3
"('Other fuel',)","Columbus city, Ohio",718,±443,0.20%,±0.1
"('Other fuel',)","Corpus Christi city, Texas",N,N,N,N
"('Other fuel',)","Dallas city, Texas",658,±471,0.10%,±0.1
"('Other fuel',)","Denver city, Colorado","1,959",±676,0.60%,±0.2
