Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('$500 to $699',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$500 to $699',)","Las Vegas city, Nevada","2,636",±736,selected_monthly_owner_costs_(smoc),2.90%,±0.8
"('$500 to $699',)","Lincoln city, Nebraska","1,829",±612,selected_monthly_owner_costs_(smoc),4.30%,±1.4
"('$500 to $699',)","Long Beach city, California",681,±284,selected_monthly_owner_costs_(smoc),1.40%,±0.6
"('$500 to $699',)","Los Angeles city, California","3,543",±881,selected_monthly_owner_costs_(smoc),0.90%,±0.2
"('$500 to $699',)","Memphis city, Tennessee","5,748","±1,120",selected_monthly_owner_costs_(smoc),6.30%,±1.2
"('$500 to $699',)","Mesa city, Arizona","2,952",±922,selected_monthly_owner_costs_(smoc),4.30%,±1.3
"('$500 to $699',)","Miami city, Florida",922,±356,selected_monthly_owner_costs_(smoc),3.00%,±1.2
"('$500 to $699',)","Milwaukee city, Wisconsin","2,863",±737,selected_monthly_owner_costs_(smoc),3.90%,±1.0
"('$500 to $699',)","Minneapolis city, Minnesota","1,646",±541,selected_monthly_owner_costs_(smoc),2.60%,±0.8
"('$500 to $699',)","New Orleans city, Louisiana","2,247",±787,selected_monthly_owner_costs_(smoc),5.20%,±1.8
"('$500 to $699',)","New York city, New York","9,093","±1,530",selected_monthly_owner_costs_(smoc),1.50%,±0.2
"('$500 to $699',)","Newark city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$500 to $699',)","Oakland city, California",624,±265,selected_monthly_owner_costs_(smoc),1.30%,±0.5
"('$500 to $699',)","Omaha city, Nebraska","3,397",±762,selected_monthly_owner_costs_(smoc),5.10%,±1.1
"('$500 to $699',)","Orlando city, Florida",502,±277,selected_monthly_owner_costs_(smoc),1.70%,±0.9
"('$500 to $699',)","Philadelphia city, Pennsylvania","16,826","±2,015",selected_monthly_owner_costs_(smoc),9.10%,±1.0
"('$500 to $699',)","Phoenix city, Arizona","8,006","±1,311",selected_monthly_owner_costs_(smoc),3.60%,±0.6
"('$500 to $699',)","Pittsburgh city, Pennsylvania","5,650","±1,181",selected_monthly_owner_costs_(smoc),14.40%,±2.7
"('$500 to $699',)","Plano city, Texas",641,±456,selected_monthly_owner_costs_(smoc),1.30%,±0.9
"('$500 to $699',)","Portland city, Oregon","1,854",±626,selected_monthly_owner_costs_(smoc),1.80%,±0.6
"('$500 to $699',)","Riverside city, California","1,004",±492,selected_monthly_owner_costs_(smoc),2.50%,±1.2
"('$500 to $699',)","Sacramento city, California","1,179",±453,selected_monthly_owner_costs_(smoc),1.90%,±0.7
"('$500 to $699',)","San Antonio city, Texas","12,814","±1,691",selected_monthly_owner_costs_(smoc),7.50%,±1.0
"('$500 to $699',)","San Diego city, California","2,573",±649,selected_monthly_owner_costs_(smoc),1.50%,±0.4
"('$500 to $699',)","San Francisco city, California",647,±313,selected_monthly_owner_costs_(smoc),0.80%,±0.4
"('$500 to $699',)","San Jose city, California","1,411",±658,selected_monthly_owner_costs_(smoc),1.10%,±0.5
"('$500 to $699',)","Santa Ana city, California",607,±356,selected_monthly_owner_costs_(smoc),2.40%,±1.4
"('$500 to $699',)","Seattle city, Washington","1,344",±489,selected_monthly_owner_costs_(smoc),1.40%,±0.5
"('$500 to $699',)","St. Paul city, Minnesota",966,±418,selected_monthly_owner_costs_(smoc),2.20%,±1.0
"('$500 to $699',)","Stockton city, California","1,311",±589,selected_monthly_owner_costs_(smoc),3.40%,±1.5
"('$500 to $699',)","Tampa city, Florida","2,075",±716,selected_monthly_owner_costs_(smoc),4.30%,±1.4
"('$500 to $699',)","Tucson city, Arizona","5,919","±1,316",selected_monthly_owner_costs_(smoc),7.90%,±1.7
"('$500 to $699',)","Tulsa city, Oklahoma","4,104",±978,selected_monthly_owner_costs_(smoc),7.30%,±1.7
"('$500 to $699',)","Virginia Beach city, Virginia","1,118",±426,selected_monthly_owner_costs_(smoc),1.30%,±0.5
"('$500 to $699',)","Washington city, District of Columbia","1,102",±519,selected_monthly_owner_costs_(smoc),1.30%,±0.6
"('$500 to $699',)","Wichita city, Kansas","6,484","±1,287",selected_monthly_owner_costs_(smoc),10.00%,±1.9
"('$700 to $999',)","Albuquerque city, New Mexico","15,404","±1,971",selected_monthly_owner_costs_(smoc),15.90%,±1.8
"('$700 to $999',)","Anaheim city, California","1,368",±546,selected_monthly_owner_costs_(smoc),3.70%,±1.4
"('$700 to $999',)","Anchorage municipality, Alaska","3,370",±982,selected_monthly_owner_costs_(smoc),6.70%,±1.9
"('$700 to $999',)","Arlington city, Texas","6,350","±1,278",selected_monthly_owner_costs_(smoc),11.20%,±2.1
"('$700 to $999',)","Atlanta city, Georgia","5,146",±929,selected_monthly_owner_costs_(smoc),9.20%,±1.6
"('$700 to $999',)","Aurora city, Colorado","9,132","±1,299",selected_monthly_owner_costs_(smoc),15.10%,±2.1
"('$700 to $999',)","Austin city, Texas","7,954","±1,264",selected_monthly_owner_costs_(smoc),7.50%,±1.1
"('$700 to $999',)","Bakersfield city, California","4,510",±968,selected_monthly_owner_costs_(smoc),8.80%,±1.8
"('$700 to $999',)","Baltimore city, Maryland","13,286","±1,738",selected_monthly_owner_costs_(smoc),17.30%,±2.2
"('$700 to $999',)","Boston city, Massachusetts","2,016",±564,selected_monthly_owner_costs_(smoc),3.30%,±0.9
"('$700 to $999',)","Chicago city, Illinois","21,473","±2,199",selected_monthly_owner_costs_(smoc),6.20%,±0.6
"('$700 to $999',)","Cincinnati city, Ohio","7,025","±1,276",selected_monthly_owner_costs_(smoc),17.20%,±3.2
"('$700 to $999',)","Cleveland city, Ohio","15,351","±1,779",selected_monthly_owner_costs_(smoc),29.50%,±2.9
"('$700 to $999',)","Colorado Springs city, Colorado","10,257","±1,574",selected_monthly_owner_costs_(smoc),13.70%,±2.0
"('$700 to $999',)","Columbus city, Ohio","22,789","±2,421",selected_monthly_owner_costs_(smoc),19.00%,±1.7
"('$700 to $999',)","Corpus Christi city, Texas","5,354","±1,402",selected_monthly_owner_costs_(smoc),14.40%,±3.4
"('$700 to $999',)","Dallas city, Texas","17,443","±1,811",selected_monthly_owner_costs_(smoc),13.60%,±1.3
"('$700 to $999',)","Denver city, Colorado","11,237","±1,412",selected_monthly_owner_costs_(smoc),11.30%,±1.4
"('$700 to $999',)","Detroit city, Michigan","20,518","±2,213",selected_monthly_owner_costs_(smoc),27.30%,±2.4
"('$700 to $999',)","El Paso city, Texas","22,646","±2,377",selected_monthly_owner_costs_(smoc),29.10%,±2.6
"('$700 to $999',)","Fresno city, California","8,014","±1,452",selected_monthly_owner_costs_(smoc),14.10%,±2.4
"('$700 to $999',)","Greensboro city, North Carolina","8,889","±1,323",selected_monthly_owner_costs_(smoc),20.80%,±2.7
"('$700 to $999',)","Henderson city, Nevada","3,937",±940,selected_monthly_owner_costs_(smoc),7.70%,±1.7
"('$700 to $999',)","Houston city, Texas","29,854","±2,783",selected_monthly_owner_costs_(smoc),14.00%,±1.2
"('$700 to $999',)","Indianapolis city (balance), Indiana","38,227","±2,997",selected_monthly_owner_costs_(smoc),27.10%,±1.9
"('$700 to $999',)","Irvine city, California",684,±365,selected_monthly_owner_costs_(smoc),2.20%,±1.2
"('$700 to $999',)","Jacksonville city, Florida","21,532","±2,472",selected_monthly_owner_costs_(smoc),15.70%,±1.7
"('$700 to $999',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$700 to $999',)","Las Vegas city, Nevada","9,979","±1,569",selected_monthly_owner_costs_(smoc),11.10%,±1.7
"('$700 to $999',)","Lincoln city, Nebraska","9,545","±1,519",selected_monthly_owner_costs_(smoc),22.40%,±3.4
"('$700 to $999',)","Long Beach city, California","2,027",±610,selected_monthly_owner_costs_(smoc),4.20%,±1.3
"('$700 to $999',)","Los Angeles city, California","12,335","±1,807",selected_monthly_owner_costs_(smoc),3.20%,±0.5
"('$700 to $999',)","Memphis city, Tennessee","21,228","±2,201",selected_monthly_owner_costs_(smoc),23.30%,±2.3
"('$700 to $999',)","Mesa city, Arizona","11,500","±1,870",selected_monthly_owner_costs_(smoc),16.60%,±2.3
"('$700 to $999',)","Miami city, Florida","2,508",±819,selected_monthly_owner_costs_(smoc),8.20%,±2.6
"('$700 to $999',)","Milwaukee city, Wisconsin","13,227","±1,652",selected_monthly_owner_costs_(smoc),18.00%,±2.0
"('$700 to $999',)","Minneapolis city, Minnesota","6,481","±1,170",selected_monthly_owner_costs_(smoc),10.20%,±1.8
"('$700 to $999',)","New Orleans city, Louisiana","6,913","±1,275",selected_monthly_owner_costs_(smoc),16.00%,±2.5
"('$700 to $999',)","New York city, New York","27,520","±2,423",selected_monthly_owner_costs_(smoc),4.40%,±0.4
"('$700 to $999',)","Newark city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$700 to $999',)","Oakland city, California","1,962",±750,selected_monthly_owner_costs_(smoc),4.10%,±1.5
"('$700 to $999',)","Omaha city, Nebraska","13,460","±1,594",selected_monthly_owner_costs_(smoc),20.30%,±2.3
"('$700 to $999',)","Orlando city, Florida","3,312",±908,selected_monthly_owner_costs_(smoc),11.40%,±3.0
"('$700 to $999',)","Philadelphia city, Pennsylvania","42,327","±3,283",selected_monthly_owner_costs_(smoc),22.90%,±1.5
"('$700 to $999',)","Phoenix city, Arizona","29,601","±2,754",selected_monthly_owner_costs_(smoc),13.30%,±1.1
"('$700 to $999',)","Pittsburgh city, Pennsylvania","10,805","±1,439",selected_monthly_owner_costs_(smoc),27.50%,±3.0
"('$700 to $999',)","Plano city, Texas","1,282",±546,selected_monthly_owner_costs_(smoc),2.60%,±1.1
"('$700 to $999',)","Portland city, Oregon","7,324","±1,247",selected_monthly_owner_costs_(smoc),7.30%,±1.2
"('$700 to $999',)","Riverside city, California","2,435",±761,selected_monthly_owner_costs_(smoc),6.00%,±1.8
"('$700 to $999',)","Sacramento city, California","4,832","±1,015",selected_monthly_owner_costs_(smoc),7.60%,±1.6
"('$700 to $999',)","San Antonio city, Texas","40,637","±3,634",selected_monthly_owner_costs_(smoc),23.70%,±1.8
"('$700 to $999',)","San Diego city, California","6,301",±946,selected_monthly_owner_costs_(smoc),3.60%,±0.5
"('$700 to $999',)","San Francisco city, California","2,091",±621,selected_monthly_owner_costs_(smoc),2.50%,±0.7
"('$700 to $999',)","San Jose city, California","2,296",±652,selected_monthly_owner_costs_(smoc),1.70%,±0.5
"('$700 to $999',)","Santa Ana city, California","1,170",±407,selected_monthly_owner_costs_(smoc),4.60%,±1.5
"('$700 to $999',)","Seattle city, Washington","3,972","±1,138",selected_monthly_owner_costs_(smoc),4.00%,±1.1
"('$700 to $999',)","St. Paul city, Minnesota","4,927","±1,131",selected_monthly_owner_costs_(smoc),11.50%,±2.5
"('$700 to $999',)","Stockton city, California","3,540",±887,selected_monthly_owner_costs_(smoc),9.20%,±2.3
"('$700 to $999',)","Tampa city, Florida","6,532","±1,145",selected_monthly_owner_costs_(smoc),13.70%,±2.4
"('$700 to $999',)","Tucson city, Arizona","14,075","±1,763",selected_monthly_owner_costs_(smoc),18.80%,±2.1
"('$700 to $999',)","Tulsa city, Oklahoma","14,034","±1,590",selected_monthly_owner_costs_(smoc),25.10%,±2.3
"('$700 to $999',)","Virginia Beach city, Virginia","4,814","±1,019",selected_monthly_owner_costs_(smoc),5.60%,±1.2
"('$700 to $999',)","Washington city, District of Columbia","4,457",±960,selected_monthly_owner_costs_(smoc),5.40%,±1.1
"('$700 to $999',)","Wichita city, Kansas","17,403","±1,822",selected_monthly_owner_costs_(smoc),26.90%,±2.6
"('$1,000 to $1,499',)","Albuquerque city, New Mexico","39,407","±2,834",selected_monthly_owner_costs_(smoc),40.70%,±2.3
"('$1,000 to $1,499',)","Anaheim city, California","3,438",±767,selected_monthly_owner_costs_(smoc),9.30%,±2.1
"('$1,000 to $1,499',)","Anchorage municipality, Alaska","8,412","±1,219",selected_monthly_owner_costs_(smoc),16.60%,±2.3
"('$1,000 to $1,499',)","Arlington city, Texas","26,688","±2,682",selected_monthly_owner_costs_(smoc),46.90%,±3.4
"('$1,000 to $1,499',)","Atlanta city, Georgia","11,546","±1,542",selected_monthly_owner_costs_(smoc),20.60%,±2.4
"('$1,000 to $1,499',)","Aurora city, Colorado","21,885","±2,215",selected_monthly_owner_costs_(smoc),36.20%,±3.1
"('$1,000 to $1,499',)","Austin city, Texas","33,074","±2,998",selected_monthly_owner_costs_(smoc),31.30%,±2.2
"('$1,000 to $1,499',)","Bakersfield city, California","14,259","±1,874",selected_monthly_owner_costs_(smoc),27.80%,±3.3
"('$1,000 to $1,499',)","Baltimore city, Maryland","24,228","±2,390",selected_monthly_owner_costs_(smoc),31.50%,±2.7
"('$1,000 to $1,499',)","Boston city, Massachusetts","8,359","±1,446",selected_monthly_owner_costs_(smoc),13.60%,±2.2
"('$1,000 to $1,499',)","Chicago city, Illinois","71,696","±4,231",selected_monthly_owner_costs_(smoc),20.80%,±1.1
"('$1,000 to $1,499',)","Cincinnati city, Ohio","14,758","±2,083",selected_monthly_owner_costs_(smoc),36.20%,±4.1
"('$1,000 to $1,499',)","Cleveland city, Ohio","21,592","±2,010",selected_monthly_owner_costs_(smoc),41.50%,±3.4
"('$1,000 to $1,499',)","Colorado Springs city, Colorado","26,521","±2,387",selected_monthly_owner_costs_(smoc),35.40%,±2.7
"('$1,000 to $1,499',)","Columbus city, Ohio","49,380","±2,613",selected_monthly_owner_costs_(smoc),41.10%,±2.1
"('$1,000 to $1,499',)","Corpus Christi city, Texas","15,425","±2,173",selected_monthly_owner_costs_(smoc),41.50%,±4.2
"('$1,000 to $1,499',)","Dallas city, Texas","43,791","±3,213",selected_monthly_owner_costs_(smoc),34.10%,±2.0
"('$1,000 to $1,499',)","Denver city, Colorado","30,898","±2,054",selected_monthly_owner_costs_(smoc),31.20%,±1.8
"('$1,000 to $1,499',)","Detroit city, Michigan","30,009","±2,449",selected_monthly_owner_costs_(smoc),39.90%,±2.7
"('$1,000 to $1,499',)","El Paso city, Texas","25,351","±2,325",selected_monthly_owner_costs_(smoc),32.50%,±2.5
"('$1,000 to $1,499',)","Fresno city, California","17,270","±2,175",selected_monthly_owner_costs_(smoc),30.30%,±3.2
"('$1,000 to $1,499',)","Greensboro city, North Carolina","18,337","±1,734",selected_monthly_owner_costs_(smoc),42.90%,±3.5
"('$1,000 to $1,499',)","Henderson city, Nevada","11,153","±1,738",selected_monthly_owner_costs_(smoc),21.80%,±2.9
"('$1,000 to $1,499',)","Houston city, Texas","79,390","±4,331",selected_monthly_owner_costs_(smoc),37.30%,±1.8
"('$1,000 to $1,499',)","Indianapolis city (balance), Indiana","55,542","±3,255",selected_monthly_owner_costs_(smoc),39.40%,±1.9
"('$1,000 to $1,499',)","Irvine city, California","2,286",±694,selected_monthly_owner_costs_(smoc),7.20%,±2.1
"('$1,000 to $1,499',)","Jacksonville city, Florida","47,753","±3,444",selected_monthly_owner_costs_(smoc),34.70%,±2.3
"('$1,000 to $1,499',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$1,000 to $1,499',)","Las Vegas city, Nevada","24,411","±2,282",selected_monthly_owner_costs_(smoc),27.10%,±2.3
"('$1,000 to $1,499',)","Lincoln city, Nebraska","17,042","±1,924",selected_monthly_owner_costs_(smoc),40.10%,±3.7
"('$1,000 to $1,499',)","Long Beach city, California","4,642",±860,selected_monthly_owner_costs_(smoc),9.60%,±1.9
"('$1,000 to $1,499',)","Los Angeles city, California","43,486","±2,807",selected_monthly_owner_costs_(smoc),11.40%,±0.8
"('$1,000 to $1,499',)","Memphis city, Tennessee","38,517","±2,946",selected_monthly_owner_costs_(smoc),42.30%,±2.7
"('$1,000 to $1,499',)","Mesa city, Arizona","23,109","±1,869",selected_monthly_owner_costs_(smoc),33.30%,±2.0
"('$1,000 to $1,499',)","Miami city, Florida","6,879","±1,283",selected_monthly_owner_costs_(smoc),22.40%,±3.5
"('$1,000 to $1,499',)","Milwaukee city, Wisconsin","31,608","±2,000",selected_monthly_owner_costs_(smoc),43.00%,±2.2
"('$1,000 to $1,499',)","Minneapolis city, Minnesota","18,612","±1,887",selected_monthly_owner_costs_(smoc),29.30%,±2.6
"('$1,000 to $1,499',)","New Orleans city, Louisiana","12,365","±1,510",selected_monthly_owner_costs_(smoc),28.70%,±3.2
"('$1,000 to $1,499',)","New York city, New York","74,627","±3,840",selected_monthly_owner_costs_(smoc),11.90%,±0.6
"('$1,000 to $1,499',)","Newark city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$1,000 to $1,499',)","Oakland city, California","6,386","±1,145",selected_monthly_owner_costs_(smoc),13.20%,±2.2
"('$1,000 to $1,499',)","Omaha city, Nebraska","26,845","±2,340",selected_monthly_owner_costs_(smoc),40.60%,±2.9
"('$1,000 to $1,499',)","Orlando city, Florida","9,283","±1,730",selected_monthly_owner_costs_(smoc),31.90%,±4.8
"('$1,000 to $1,499',)","Philadelphia city, Pennsylvania","64,021","±4,238",selected_monthly_owner_costs_(smoc),34.60%,±1.9
"('$1,000 to $1,499',)","Phoenix city, Arizona","75,571","±4,328",selected_monthly_owner_costs_(smoc),34.00%,±1.6
"('$1,000 to $1,499',)","Pittsburgh city, Pennsylvania","12,742","±1,575",selected_monthly_owner_costs_(smoc),32.50%,±3.6
"('$1,000 to $1,499',)","Plano city, Texas","9,549","±1,283",selected_monthly_owner_costs_(smoc),19.60%,±2.5
"('$1,000 to $1,499',)","Portland city, Oregon","26,779","±2,227",selected_monthly_owner_costs_(smoc),26.70%,±2.2
"('$1,000 to $1,499',)","Riverside city, California","9,826","±1,672",selected_monthly_owner_costs_(smoc),24.30%,±3.6
"('$1,000 to $1,499',)","Sacramento city, California","15,715","±2,098",selected_monthly_owner_costs_(smoc),24.90%,±2.9
"('$1,000 to $1,499',)","San Antonio city, Texas","59,465","±3,924",selected_monthly_owner_costs_(smoc),34.80%,±2.1
"('$1,000 to $1,499',)","San Diego city, California","22,588","±1,936",selected_monthly_owner_costs_(smoc),13.10%,±1.1
"('$1,000 to $1,499',)","San Francisco city, California","6,874","±1,231",selected_monthly_owner_costs_(smoc),8.10%,±1.5
"('$1,000 to $1,499',)","San Jose city, California","9,981","±1,518",selected_monthly_owner_costs_(smoc),7.50%,±1.1
"('$1,000 to $1,499',)","Santa Ana city, California","5,892","±1,215",selected_monthly_owner_costs_(smoc),23.00%,±4.3
"('$1,000 to $1,499',)","Seattle city, Washington","11,304","±1,544",selected_monthly_owner_costs_(smoc),11.40%,±1.5
"('$1,000 to $1,499',)","St. Paul city, Minnesota","14,969","±1,601",selected_monthly_owner_costs_(smoc),34.80%,±3.0
"('$1,000 to $1,499',)","Stockton city, California","9,862","±1,483",selected_monthly_owner_costs_(smoc),25.70%,±3.3
"('$1,000 to $1,499',)","Tampa city, Florida","12,975","±1,642",selected_monthly_owner_costs_(smoc),27.10%,±3.0
"('$1,000 to $1,499',)","Tucson city, Arizona","30,389","±2,817",selected_monthly_owner_costs_(smoc),40.70%,±2.6
"('$1,000 to $1,499',)","Tulsa city, Oklahoma","19,797","±1,897",selected_monthly_owner_costs_(smoc),35.40%,±3.0
"('$1,000 to $1,499',)","Virginia Beach city, Virginia","20,080","±2,026",selected_monthly_owner_costs_(smoc),23.20%,±2.1
"('$1,000 to $1,499',)","Washington city, District of Columbia","12,281","±1,680",selected_monthly_owner_costs_(smoc),14.90%,±1.9
"('$1,000 to $1,499',)","Wichita city, Kansas","21,989","±1,948",selected_monthly_owner_costs_(smoc),34.00%,±3.0
"('$1,500 to $1,999',)","Albuquerque city, New Mexico","20,050","±2,205",selected_monthly_owner_costs_(smoc),20.70%,±2.3
"('$1,500 to $1,999',)","Anaheim city, California","7,694","±1,296",selected_monthly_owner_costs_(smoc),20.80%,±2.9
"('$1,500 to $1,999',)","Anchorage municipality, Alaska","13,431","±1,614",selected_monthly_owner_costs_(smoc),26.50%,±2.8
"('$1,500 to $1,999',)","Arlington city, Texas","13,938","±1,714",selected_monthly_owner_costs_(smoc),24.50%,±2.8
"('$1,500 to $1,999',)","Atlanta city, Georgia","12,211","±1,781",selected_monthly_owner_costs_(smoc),21.80%,±2.8
"('$1,500 to $1,999',)","Aurora city, Colorado","15,981","±1,614",selected_monthly_owner_costs_(smoc),26.40%,±2.5
"('$1,500 to $1,999',)","Austin city, Texas","26,093","±2,565",selected_monthly_owner_costs_(smoc),24.70%,±2.3
"('$1,500 to $1,999',)","Bakersfield city, California","12,897","±1,463",selected_monthly_owner_costs_(smoc),25.10%,±2.5
"('$1,500 to $1,999',)","Baltimore city, Maryland","16,422","±1,909",selected_monthly_owner_costs_(smoc),21.30%,±2.2
"('$1,500 to $1,999',)","Boston city, Massachusetts","13,974","±1,689",selected_monthly_owner_costs_(smoc),22.70%,±2.7
"('$1,500 to $1,999',)","Chicago city, Illinois","89,485","±5,196",selected_monthly_owner_costs_(smoc),25.90%,±1.3
"('$1,500 to $1,999',)","Cincinnati city, Ohio","9,026","±1,556",selected_monthly_owner_costs_(smoc),22.10%,±3.3
"('$1,500 to $1,999',)","Cleveland city, Ohio","4,324",±826,selected_monthly_owner_costs_(smoc),8.30%,±1.5
"('$1,500 to $1,999',)","Colorado Springs city, Colorado","18,489","±1,631",selected_monthly_owner_costs_(smoc),24.70%,±2.2
"('$1,500 to $1,999',)","Columbus city, Ohio","27,022","±2,672",selected_monthly_owner_costs_(smoc),22.50%,±1.9
"('$1,500 to $1,999',)","Corpus Christi city, Texas","8,543","±1,736",selected_monthly_owner_costs_(smoc),23.00%,±4.1
"('$1,500 to $1,999',)","Dallas city, Texas","22,791","±2,095",selected_monthly_owner_costs_(smoc),17.70%,±1.5
"('$1,500 to $1,999',)","Denver city, Colorado","23,983","±2,486",selected_monthly_owner_costs_(smoc),24.20%,±2.3
"('$1,500 to $1,999',)","Detroit city, Michigan","8,851","±1,609",selected_monthly_owner_costs_(smoc),11.80%,±2.0
"('$1,500 to $1,999',)","El Paso city, Texas","10,194","±1,703",selected_monthly_owner_costs_(smoc),13.10%,±2.1
"('$1,500 to $1,999',)","Fresno city, California","11,666","±1,565",selected_monthly_owner_costs_(smoc),20.50%,±2.6
"('$1,500 to $1,999',)","Greensboro city, North Carolina","6,521","±1,098",selected_monthly_owner_costs_(smoc),15.20%,±2.5
"('$1,500 to $1,999',)","Henderson city, Nevada","12,980","±1,804",selected_monthly_owner_costs_(smoc),25.30%,±3.5
"('$1,500 to $1,999',)","Houston city, Texas","41,110","±2,944",selected_monthly_owner_costs_(smoc),19.30%,±1.4
"('$1,500 to $1,999',)","Indianapolis city (balance), Indiana","19,392","±1,984",selected_monthly_owner_costs_(smoc),13.80%,±1.4
"('$1,500 to $1,999',)","Irvine city, California","2,804",±664,selected_monthly_owner_costs_(smoc),8.80%,±1.9
"('$1,500 to $1,999',)","Jacksonville city, Florida","29,906","±2,474",selected_monthly_owner_costs_(smoc),21.70%,±1.8
"('$1,500 to $1,999',)","Jersey City city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$1,500 to $1,999',)","Las Vegas city, Nevada","22,150","±2,167",selected_monthly_owner_costs_(smoc),24.60%,±2.2
"('$1,500 to $1,999',)","Lincoln city, Nebraska","8,230","±1,083",selected_monthly_owner_costs_(smoc),19.40%,±2.5
"('$1,500 to $1,999',)","Long Beach city, California","9,679","±1,451",selected_monthly_owner_costs_(smoc),19.90%,±2.9
"('$1,500 to $1,999',)","Los Angeles city, California","62,598","±3,669",selected_monthly_owner_costs_(smoc),16.40%,±0.9
"('$1,500 to $1,999',)","Memphis city, Tennessee","13,831","±1,844",selected_monthly_owner_costs_(smoc),15.20%,±1.9
"('$1,500 to $1,999',)","Mesa city, Arizona","15,673","±1,825",selected_monthly_owner_costs_(smoc),22.60%,±2.5
"('$1,500 to $1,999',)","Miami city, Florida","6,195","±1,304",selected_monthly_owner_costs_(smoc),20.20%,±3.6
"('$1,500 to $1,999',)","Milwaukee city, Wisconsin","18,339","±1,874",selected_monthly_owner_costs_(smoc),24.90%,±2.2
"('$1,500 to $1,999',)","Minneapolis city, Minnesota","16,736","±1,666",selected_monthly_owner_costs_(smoc),26.40%,±2.3
"('$1,500 to $1,999',)","New Orleans city, Louisiana","8,814","±1,477",selected_monthly_owner_costs_(smoc),20.50%,±3.2
"('$1,500 to $1,999',)","New York city, New York","94,479","±4,596",selected_monthly_owner_costs_(smoc),15.10%,±0.7
"('$1,500 to $1,999',)","Newark city, New Jersey",N,N,selected_monthly_owner_costs_(smoc),N,N
"('$1,500 to $1,999',)","Oakland city, California","6,929","±1,240",selected_monthly_owner_costs_(smoc),14.30%,±2.2
"('$1,500 to $1,999',)","Omaha city, Nebraska","11,998","±1,261",selected_monthly_owner_costs_(smoc),18.10%,±1.9
"('$1,500 to $1,999',)","Orlando city, Florida","6,216","±1,359",selected_monthly_owner_costs_(smoc),21.30%,±4.2
"('$1,500 to $1,999',)","Philadelphia city, Pennsylvania","30,613","±2,409",selected_monthly_owner_costs_(smoc),16.50%,±1.3
"('$1,500 to $1,999',)","Phoenix city, Arizona","54,656","±3,760",selected_monthly_owner_costs_(smoc),24.60%,±1.5
"('$1,500 to $1,999',)","Pittsburgh city, Pennsylvania","3,915","±1,000",selected_monthly_owner_costs_(smoc),10.00%,±2.4
"('$1,500 to $1,999',)","Plano city, Texas","15,301","±1,740",selected_monthly_owner_costs_(smoc),31.40%,±3.3
"('$1,500 to $1,999',)","Portland city, Oregon","29,125","±2,498",selected_monthly_owner_costs_(smoc),29.00%,±2.1
"('$1,500 to $1,999',)","Riverside city, California","9,790","±1,457",selected_monthly_owner_costs_(smoc),24.20%,±3.2
"('$1,500 to $1,999',)","Sacramento city, California","12,821","±1,663",selected_monthly_owner_costs_(smoc),20.30%,±2.4
"('$1,500 to $1,999',)","San Antonio city, Texas","32,784","±2,998",selected_monthly_owner_costs_(smoc),19.20%,±1.7
"('$1,500 to $1,999',)","San Diego city, California","29,699","±2,497",selected_monthly_owner_costs_(smoc),17.20%,±1.4
"('$1,500 to $1,999',)","San Francisco city, California","7,929","±1,474",selected_monthly_owner_costs_(smoc),9.30%,±1.6
"('$1,500 to $1,999',)","San Jose city, California","16,840","±2,018",selected_monthly_owner_costs_(smoc),12.70%,±1.4
"('$1,500 to $1,999',)","Santa Ana city, California","6,612","±1,364",selected_monthly_owner_costs_(smoc),25.80%,±5.0
"('$1,500 to $1,999',)","Seattle city, Washington","21,493","±2,085",selected_monthly_owner_costs_(smoc),21.60%,±2.0
"('$1,500 to $1,999',)","St. Paul city, Minnesota","12,973","±1,461",selected_monthly_owner_costs_(smoc),30.20%,±2.8
"('$1,500 to $1,999',)","Stockton city, California","11,785","±1,812",selected_monthly_owner_costs_(smoc),30.70%,±4.1
"('$1,500 to $1,999',)","Tampa city, Florida","8,179","±1,482",selected_monthly_owner_costs_(smoc),17.10%,±3.0
"('$1,500 to $1,999',)","Tucson city, Arizona","15,267","±1,880",selected_monthly_owner_costs_(smoc),20.40%,±2.5
"('$1,500 to $1,999',)","Tulsa city, Oklahoma","8,735","±1,188",selected_monthly_owner_costs_(smoc),15.60%,±2.2
"('$1,500 to $1,999',)","Virginia Beach city, Virginia","26,039","±2,018",selected_monthly_owner_costs_(smoc),30.00%,±2.1
"('$1,500 to $1,999',)","Washington city, District of Columbia","15,487","±1,860",selected_monthly_owner_costs_(smoc),18.70%,±2.1
"('$1,500 to $1,999',)","Wichita city, Kansas","11,570","±1,705",selected_monthly_owner_costs_(smoc),17.90%,±2.4
"('$2,000 or more',)","Albuquerque city, New Mexico","15,222","±1,847",selected_monthly_owner_costs_(smoc),15.70%,±1.9
